task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,elapsed_s,prompt_tokens,completion_tokens,total_tokens
HumanEval/158,hybrid,gemma-12b,0,0,1,1,0.0,,,1.0,2.08,53.0,5.93,0.048,84.68,2157,0,2157
HumanEval/158,hybrid,gemma-27b,17,6,0,23,0.739,88.0,,1.0,2.24,55.33,4.73,0.231,134.89,2045,0,2045
HumanEval/159,hybrid,gemma-12b,0,0,1,1,0.0,,,1.0,3.7,54.9,2.07,0.022,106.26,2650,0,2650
HumanEval/159,hybrid,gemma-27b,38,1,0,39,0.974,91.0,,1.0,2.78,57.53,3.9,0.373,152.05,3295,0,3295
HumanEval/160,hybrid,gemma-12b,0,0,1,1,0.0,,,1.0,2.41,28.23,8.81,0.025,97.87,3082,0,3082
HumanEval/160,hybrid,gemma-27b,23,11,0,34,0.676,86.0,,1.0,2.49,40.23,6.12,0.202,154.89,3277,0,3277
HumanEval/161,hybrid,gemma-12b,0,0,1,1,0.0,,,1.0,3.0,56.79,4.58,0.06,73.65,2442,0,2442
HumanEval/161,hybrid,gemma-27b,53,9,0,62,0.855,87.0,,1.0,2.58,46.76,7.58,0.16,116.94,2243,0,2243
HumanEval/162,hybrid,gemma-12b,3,10,0,13,0.231,85.0,,1.0,2.07,66.38,5.27,0.174,74.12,2580,0,2580
HumanEval/162,hybrid,gemma-27b,5,10,0,15,0.333,75.0,,1.0,2.47,63.65,6.18,0.13,133.08,2335,0,2335
HumanEval/163,hybrid,gemma-27b,8,6,0,14,0.571,88.0,,1.0,3.0,58.54,5.27,0.199,107.02,1964,0,1964
HumanEval/163,hybrid,gemma-12b,0,0,1,1,0.0,,,1.0,1.59,54.19,8.55,0.037,109.77,5088,0,5088
HumanEval/158,soa,gemma-27b,14,1,0,15,0.933,84.0,,1.0,2.25,66.05,3.47,0.339,74.31,357,0,357
HumanEval/158,soa,gemma-12b,12,3,0,15,0.8,85.0,,1.0,2.29,63.64,3.53,0.322,79.68,359,0,359
HumanEval/158,atomic_swarm,gemma-27b,2,0,0,2,1.0,69.0,,0.0,3.0,82.64,2.0,0.607,87.74,522,0,522
HumanEval/158,consensus,gemma-12b,8,2,0,10,0.8,82.0,,1.0,2.42,70.42,2.87,0.381,97.92,2034,0,2034
HumanEval/158,coa,gemma-27b,8,0,0,8,1.0,97.0,,0.667,2.0,76.94,1.53,0.027,98.76,775,0,775
HumanEval/158,atomic_swarm,gemma-12b,3,0,0,3,1.0,100.0,,0.667,2.0,67.83,0.67,0.08,101.8,522,0,522
HumanEval/158,coa,gemma-12b,7,0,0,7,1.0,94.0,,0.667,2.0,76.94,1.53,0.047,105.39,770,0,770
HumanEval/158,consensus,gemma-27b,12,0,0,12,1.0,83.0,,0.0,2.31,69.61,3.07,0.378,107.66,2378,0,2378
HumanEval/159,soa,gemma-27b,16,0,0,16,1.0,100.0,,0.2,2.0,47.9,1.14,0.02,77.28,727,0,727
HumanEval/159,soa,gemma-12b,12,0,0,12,1.0,87.0,,0.0,2.07,75.34,1.9,0.68,97.67,727,0,727
HumanEval/159,atomic_swarm,gemma-27b,3,0,0,3,1.0,100.0,,0.2,2.0,68.83,0.31,0.07,110.06,1077,0,1077
HumanEval/159,consensus,gemma-12b,10,0,0,10,1.0,100.0,,0.2,2.0,54.83,0.72,0.034,130.15,2207,0,2207
HumanEval/159,coa,gemma-27b,6,0,0,6,1.0,89.0,,0.2,2.0,76.88,0.79,0.053,137.57,1515,0,1515
HumanEval/159,atomic_swarm,gemma-12b,2,1,0,3,0.667,100.0,,1.0,2.0,67.85,0.31,0.061,139.92,1077,0,1077
HumanEval/159,coa,gemma-12b,8,1,0,9,0.889,100.0,,1.0,2.78,68.42,1.03,0.037,143.16,1510,0,1510
HumanEval/159,consensus,gemma-27b,16,0,0,16,1.0,100.0,,0.2,2.0,47.9,1.14,0.029,146.33,2662,0,2662
HumanEval/160,soa,gemma-12b,12,2,0,14,0.857,91.0,,1.0,2.06,66.51,3.19,0.445,90.7,547,0,547
HumanEval/160,soa,gemma-27b,15,3,0,18,0.833,89.0,,1.0,2.3,64.64,2.85,0.419,90.82,547,0,547
HumanEval/160,atomic_swarm,gemma-12b,1,2,0,3,0.333,79.0,,1.0,3.67,59.56,1.04,0.098,117.07,807,0,807
