task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,elapsed_s,prompt_tokens,completion_tokens,total_tokens
HumanEval/139,baseline,gemma-1b:scot,0,0,0,0,0.0,19.0,,1.0,3.0,92.44,1.13,0.8,174.04,761.0,608.0,1369.0
HumanEval/139,baseline,gemma-1b:cot,0,0,0,0,0.0,19.0,,1.0,2.0,84.76,0.93,0.843,174.38,534.0,459.0,993.0
HumanEval/139,baseline,gemma-1b:zero_shot,5,1,0,6,0.833,79.0,,1.0,2.14,84.24,1.93,0.497,179.32,3187.0,2603.0,5790.0
HumanEval/139,baseline,gemma-1b:few_shot,1,2,0,3,0.333,74.0,,1.0,2.25,89.72,1.53,0.592,179.47,3513.0,2819.0,6332.0
HumanEval/139,self_healing,gemma-1b:few_shot,0,0,0,0,0.0,12.0,,1.0,4.0,93.1,1.27,0.738,218.08,4160.0,4806.0,8966.0
HumanEval/139,self_healing,gemma-1b:cot,0,0,0,0,0.0,12.0,,1.0,4.0,93.1,1.27,0.738,218.1,4160.0,4806.0,8966.0
HumanEval/139,self_healing,gemma-1b:scot,0,0,0,0,0.0,16.0,,1.0,4.0,93.19,1.33,0.754,218.27,4160.0,4806.0,8966.0
HumanEval/139,self_healing,gemma-1b:zero_shot,0,0,0,0,0.0,16.0,,1.0,4.0,93.19,1.33,0.754,221.15,4160.0,4806.0,8966.0
HumanEval/139,adversarial,gemma-1b:cot,0,0,0,0,0.0,15.0,,1.0,3.0,90.69,1.07,0.812,308.49,197.0,146.0,343.0
HumanEval/139,actor_critic,gemma-1b:few_shot,2,2,0,4,0.5,79.0,,1.0,2.4,85.66,1.87,0.533,388.31,505.0,148.0,653.0
HumanEval/139,actor_critic,gemma-1b:scot,6,5,0,11,0.545,85.0,,1.0,2.17,74.05,2.8,0.345,389.97,1316.0,483.0,1799.0
HumanEval/139,actor_critic,gemma-1b:cot,0,0,0,0,0.0,12.0,,1.0,4.0,93.1,1.27,0.738,390.34,2331.0,1468.0,3799.0
HumanEval/139,actor_critic,gemma-1b:zero_shot,7,2,0,9,0.778,85.0,,1.0,2.7,72.42,2.87,0.366,393.72,3385.0,1914.0,5299.0
HumanEval/139,adversarial,gemma-1b:scot,5,1,0,6,0.833,81.0,,1.0,2.29,82.0,2.13,0.469,412.17,0.0,0.0,0.0
HumanEval/139,adversarial,gemma-1b:few_shot,2,2,0,4,0.5,79.0,,1.0,2.4,85.66,1.87,0.533,413.0,0.0,0.0,0.0
HumanEval/139,adversarial,gemma-1b:zero_shot,3,1,0,4,0.75,79.0,,1.0,2.4,85.73,1.87,0.534,414.26,0.0,0.0,0.0
HumanEval/139,soa,gemma-1b:zero_shot,0,0,1,1,0.0,,,1.0,0.0,0.0,0.0,0.477,398.52,5202.0,3948.0,9150.0
HumanEval/139,soa,gemma-1b:cot,0,0,0,0,0.0,12.0,,1.0,4.0,92.66,1.2,0.752,403.55,6173.0,4429.0,10602.0
HumanEval/139,soa,gemma-1b:scot,0,0,0,0,0.0,7.0,,1.0,13.0,78.21,2.47,0.567,406.19,6402.0,4732.0,11134.0
HumanEval/139,soa,gemma-1b:few_shot,0,0,0,0,0.0,15.0,,1.0,3.0,90.69,1.07,0.812,403.86,6730.0,4878.0,11608.0
HumanEval/139,swarm,gemma-1b:cot,0,0,1,1,0.0,,,1.0,0.0,0.0,0.0,0.093,655.45,588.0,417.0,1005.0
HumanEval/139,swarm,gemma-1b:zero_shot,0,0,0,0,0.0,6.0,,1.0,12.0,68.39,4.53,0.344,665.99,1814.0,1009.0,2823.0
HumanEval/139,consensus,gemma-1b:zero_shot,0,0,0,0,0.0,19.0,,1.0,3.0,92.44,1.13,0.8,375.64,2579.0,1153.0,3732.0
HumanEval/139,swarm,gemma-1b:scot,0,0,0,0,0.0,5.0,,1.0,13.0,67.93,4.93,0.346,689.32,818.0,602.0,1420.0
