task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,prompt_tokens,completion_tokens,total_tokens,norm_config
HumanEval/139,actor_critic,gemma-12b:cot,3,3,0,6,0.5,83.0,,1.0,3.0,68.1,4.4,0.228,17407.0,0.0,17407.0,gemma-12b:cot
HumanEval/140,actor_critic,gemma-12b:cot,0,0,0,0,0.0,25.0,,1.0,0.0,100.0,0.07,0.016,0.0,0.0,0.0,
HumanEval/141,actor_critic,gemma-12b:cot,0,0,1,1,0.0,,,1.0,4.24,39.7,3.45,0.011,1156.0,0.0,1156.0,
HumanEval/142,actor_critic,gemma-12b:cot,0,0,0,0,0.0,12.0,,1.0,0.0,100.0,0.05,0.018,0.0,0.0,0.0,
HumanEval/143,actor_critic,gemma-12b:cot,0,0,0,0,0.0,40.0,,1.0,0.0,100.0,0.05,0.015,0.0,0.0,0.0,
HumanEval/144,actor_critic,gemma-12b:cot,0,0,0,0,0.0,40.0,,1.0,0.0,100.0,0.08,0.012,0.0,0.0,0.0,
HumanEval/145,actor_critic,gemma-12b:cot,0,0,0,0,0.0,15.0,,1.0,0.0,100.0,0.05,0.023,0.0,0.0,0.0,
HumanEval/146,actor_critic,gemma-12b:cot,0,0,0,0,0.0,18.0,,1.0,0.0,100.0,0.08,0.024,0.0,0.0,0.0,
HumanEval/147,actor_critic,gemma-12b:cot,0,0,1,1,0.0,,,1.0,2.3,63.62,1.47,0.028,444.0,0.0,444.0,
HumanEval/148,actor_critic,gemma-12b:cot,3,1,0,4,0.75,78.0,,1.0,4.6,75.91,2.19,0.594,5321.0,0.0,5321.0,
HumanEval/149,actor_critic,gemma-12b:cot,0,0,0,0,0.0,20.0,,1.0,0.0,100.0,0.05,0.011,0.0,0.0,0.0,
HumanEval/150,actor_critic,gemma-12b:cot,0,0,0,0,0.0,40.0,,1.0,0.0,100.0,0.1,0.015,0.0,0.0,0.0,
