task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,elapsed_s,prompt_tokens,completion_tokens,total_tokens,norm_config
HumanEval/154,swarm,cot:gemma-27b/chatgpt-oss,1,0,0,1,1.0,50.0,,0.0,2.0,79.74,0.29,0.253,44.28,965.0,292.0,1257.0,
HumanEval/155,swarm,cot:gemma-27b/chatgpt-oss,2,0,0,2,1.0,100.0,,0.2,2.0,78.02,1.09,0.068,53.67,771.0,350.0,1121.0,
HumanEval/156,swarm,cot:gemma-27b/chatgpt-oss,1,0,0,1,1.0,100.0,,0.333,2.0,81.86,0.21,0.077,44.63,887.0,217.0,1104.0,
HumanEval/157,swarm,cot:gemma-27b/chatgpt-oss,1,0,0,1,1.0,100.0,,0.2,4.0,73.24,0.55,0.11,49.67,1008.0,180.0,1188.0,
HumanEval/158,swarm,cot:gemma-27b/chatgpt-oss,4,0,0,4,1.0,100.0,,0.667,2.0,74.61,0.87,0.052,44.02,1433.0,331.0,1764.0,
HumanEval/159,swarm,cot:gemma-27b/chatgpt-oss,1,0,0,1,1.0,82.0,,0.0,2.0,100.0,0.17,0.065,37.69,1484.0,196.0,1680.0,
HumanEval/160,swarm,cot:gemma-27b/chatgpt-oss,1,0,0,1,1.0,100.0,,0.0,2.0,98.44,0.27,0.058,36.12,1253.0,232.0,1485.0,
HumanEval/161,swarm,cot:gemma-27b/chatgpt-oss,1,0,0,1,1.0,59.0,,0.0,2.0,81.86,0.21,0.112,30.54,827.0,177.0,1004.0,
HumanEval/162,swarm,cot:gemma-27b/chatgpt-oss,4,0,0,4,1.0,100.0,,0.25,2.0,82.21,1.82,0.152,49.64,1170.0,360.0,1530.0,
HumanEval/163,swarm,cot:gemma-27b/chatgpt-oss,1,0,0,1,1.0,100.0,,0.0,2.0,84.58,0.27,0.269,43.79,851.0,144.0,995.0,
HumanEval/154,swarm,cot:gemma-27b/llama3-70b,1,0,0,1,1.0,50.0,,0.0,2.0,79.74,0.29,0.254,242.88,928.0,47.0,975.0,
HumanEval/155,swarm,cot:gemma-27b/llama3-70b,1,0,0,1,1.0,100.0,,0.2,2.0,79.14,0.36,0.256,99.64,706.0,36.0,742.0,
HumanEval/156,swarm,cot:gemma-27b/llama3-70b,1,0,0,1,1.0,100.0,,0.333,2.0,81.86,0.21,0.077,272.96,844.0,37.0,881.0,
HumanEval/157,swarm,cot:gemma-27b/llama3-70b,1,0,0,1,1.0,100.0,,0.2,4.0,71.78,0.64,0.12,2873.16,971.0,82.0,1053.0,
HumanEval/158,swarm,cot:gemma-27b/llama3-70b,0,0,0,0,0.0,17.0,,1.0,0.0,100.0,0.07,0.027,227.8,0.0,0.0,0.0,
HumanEval/159,swarm,cot:gemma-27b/llama3-70b,1,0,0,1,1.0,82.0,,0.0,2.0,79.74,0.17,0.157,62.12,1447.0,48.0,1495.0,
HumanEval/160,swarm,cot:gemma-27b/llama3-70b,1,0,0,1,1.0,100.0,,0.0,2.0,76.55,0.27,0.068,62.28,1216.0,62.0,1278.0,
HumanEval/161,swarm,cot:gemma-27b/llama3-70b,1,0,0,1,1.0,59.0,,0.0,2.0,81.86,0.21,0.112,48.35,790.0,22.0,812.0,
HumanEval/162,swarm,cot:gemma-27b/llama3-70b,3,0,0,3,1.0,100.0,,0.25,2.0,62.48,1.36,0.035,69.19,1127.0,174.0,1301.0,
HumanEval/163,swarm,cot:gemma-27b/llama3-70b,1,0,0,1,1.0,100.0,,0.0,2.0,81.86,0.36,0.262,48.6,808.0,32.0,840.0,
HumanEval/139,cot,chatgpt-oss,11,4,0,15,0.733,100.0,,1.0,2.0,89.1,2.93,0.042,44.68,251.0,960.0,1211.0,
HumanEval/139,baseline,chatgpt-oss,18,4,0,22,0.818,95.0,,1.0,2.17,80.18,5.4,0.028,44.71,199.0,1541.0,1740.0,
HumanEval/139,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,1.75,87.18,5.07,0.046,45.82,373.0,2229.0,2602.0,
HumanEval/140,cot,chatgpt-oss,22,2,0,24,0.917,100.0,,1.0,1.5,99.2,3.57,0.027,45.21,262.0,937.0,1199.0,
HumanEval/140,baseline,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.33,86.92,5.14,0.017,46.32,210.0,1477.0,1687.0,
HumanEval/140,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.27,72.43,8.71,0.026,47.94,384.0,2106.0,2490.0,
HumanEval/141,cot,chatgpt-oss,32,0,0,32,1.0,100.0,,0.25,4.25,83.6,3.36,0.037,48.09,370.0,1132.0,1502.0,
HumanEval/141,baseline,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.0,100.0,2.45,0.032,49.08,318.0,1158.0,1476.0,
HumanEval/141,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.12,78.04,5.18,0.02,49.73,492.0,1788.0,2280.0,
HumanEval/142,baseline,chatgpt-oss,13,1,0,14,0.929,100.0,,1.0,2.5,83.7,3.95,0.044,59.33,273.0,1426.0,1699.0,
HumanEval/142,cot,chatgpt-oss,22,3,0,25,0.88,100.0,,1.0,2.6,74.94,3.84,0.045,59.41,325.0,1636.0,1961.0,
HumanEval/142,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.27,68.95,6.11,0.034,60.64,447.0,2171.0,2618.0,
HumanEval/143,cot,chatgpt-oss,12,1,0,13,0.923,100.0,,1.0,2.0,92.12,2.75,0.038,35.67,303.0,1356.0,1659.0,
HumanEval/143,baseline,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.5,85.09,3.6,0.029,35.69,251.0,1409.0,1660.0,
HumanEval/143,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.62,73.75,5.7,0.036,36.25,425.0,1527.0,1952.0,
HumanEval/144,cot,chatgpt-oss,16,0,0,16,1.0,100.0,,0.25,3.0,86.14,3.69,0.042,34.97,311.0,1121.0,1432.0,
HumanEval/144,baseline,chatgpt-oss,22,0,0,22,1.0,100.0,,1.0,3.0,87.1,4.69,0.026,37.44,259.0,1890.0,2149.0,
HumanEval/144,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.18,74.01,9.69,0.018,37.79,433.0,1882.0,2315.0,
HumanEval/145,baseline,chatgpt-oss,8,9,0,17,0.471,100.0,,1.0,2.0,78.66,4.55,0.039,37.89,219.0,1450.0,1669.0,
HumanEval/145,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.0,78.87,4.8,0.03,39.16,393.0,2071.0,2464.0,
HumanEval/145,cot,chatgpt-oss,0,0,1,1,0.0,,,1.0,0.0,0.0,0.0,0.052,42.59,271.0,3072.0,3343.0,
HumanEval/146,cot,chatgpt-oss,11,2,0,13,0.846,100.0,,1.0,1.86,85.76,3.85,0.055,37.22,275.0,1398.0,1673.0,
HumanEval/146,baseline,chatgpt-oss,8,4,0,12,0.667,100.0,,1.0,1.5,92.27,4.77,0.057,38.01,223.0,1486.0,1709.0,
HumanEval/146,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.62,75.84,6.92,0.035,38.78,397.0,1703.0,2100.0,
HumanEval/147,cot,chatgpt-oss,37,4,0,41,0.902,100.0,,1.0,3.25,79.4,3.06,0.056,37.28,321.0,1037.0,1358.0,
HumanEval/147,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.75,73.65,6.59,0.038,38.21,443.0,1685.0,2128.0,
HumanEval/147,baseline,chatgpt-oss,29,16,0,45,0.644,98.0,,1.0,2.88,71.81,4.53,0.046,38.6,269.0,1861.0,2130.0,
