model,agent,prompt,functional_correctness
zs,baseline,gemma-27b,0.6834
scot,baseline,gemma-27b,0.59825
gemma-4b,atomic_swarm,few_shot,0.93336
gemma-4b,swarm,few_shot,0.856
gemma-4b,coa,few_shot,0.83344
gemma-4b,atomic_swarm,zero_shot,0.79668
gemma-4b,atomic_swarm,cot,0.774
gemma-4b,coa,zero_shot,0.75996
gemma-4b,hybrid,few_shot,0.7413599999999999
gemma-4b,atomic_swarm,scot,0.73256
gemma-4b,swarm,scot,0.71664
gemma-4b,coa,cot,0.71044
gemma-4b,actor_critic,few_shot,0.70976
gemma-4b,swarm,zero_shot,0.6977599999999999
gemma-4b,coa,scot,0.65364
gemma-4b,consensus,few_shot,0.6344
gemma-4b,swarm,cot,0.63088
gemma-4b,actor_critic,zero_shot,0.63068
gemma-4b,consensus,scot,0.6050800000000001
gemma-4b,actor_critic,scot,0.60492
gemma-4b,consensus,zero_shot,0.5966400000000001
gemma-4b,actor_critic,cot,0.57648
gemma-4b,consensus,cot,0.57048
gemma-4b,soa,few_shot,0.56724
gemma-4b,hybrid,zero_shot,0.5566
gemma-4b,baseline,few_shot,0.5548000000000001
gemma-4b,hybrid,scot,0.5452
gemma-4b,soa,scot,0.53272
gemma-4b,soa,zero_shot,0.5082800000000001
gemma-4b,hybrid,cot,0.50792
gemma-4b,baseline,zero_shot,0.50048
gemma-4b,baseline,cot,0.48404
gemma-4b,self_healing,scot,0.47387999999999997
gemma-4b,adversarial,zero_shot,0.46872
gemma-4b,baseline,scot,0.45744
gemma-4b,soa,cot,0.45004
gemma-4b,adversarial,few_shot,0.43816000000000005
gemma-4b,adversarial,cot,0.42752
gemma-4b,self_healing,zero_shot,0.41516
gemma-4b,self_healing,cot,0.3726
gemma-4b,adversarial,scot,0.17559999999999998
gemma-4b,self_healing,few_shot,0.172
gemma-27b,atomic_swarm,zero_shot,0.8234
gemma-27b,consensus,scot,0.81104
gemma-27b,atomic_swarm,few_shot,0.80676
gemma-27b,swarm,few_shot,0.8
gemma-27b,coa,few_shot,0.7837999999999999
gemma-27b,coa,cot,0.77928
gemma-27b,swarm,cot,0.7726000000000001
gemma-27b,atomic_swarm,cot,0.77256
gemma-27b,baseline,scot,0.76544
gemma-27b,soa,zero_shot,0.7618
gemma-27b,coa,zero_shot,0.75684
gemma-27b,self_healing,cot,0.7563809523809524
gemma-27b,hybrid,scot,0.75484
gemma-27b,baseline,cot,0.74872
gemma-27b,consensus,zero_shot,0.7462000000000001
gemma-27b,soa,scot,0.74504
gemma-27b,swarm,zero_shot,0.74
gemma-27b,consensus,few_shot,0.7364
gemma-27b,adversarial,zero_shot,0.7317272727272727
gemma-27b,adversarial,scot,0.7287727272727273
gemma-27b,adversarial,few_shot,0.7268095238095238
gemma-27b,baseline,few_shot,0.72288
gemma-27b,consensus,cot,0.71792
gemma-27b,self_healing,scot,0.7132380952380952
gemma-27b,baseline,zero_shot,0.71012
gemma-27b,soa,few_shot,0.7095999999999999
gemma-27b,adversarial,cot,0.7058095238095238
gemma-27b,soa,cot,0.6850799999999999
gemma-27b,swarm,scot,0.68
gemma-27b,hybrid,zero_shot,0.66688
gemma-27b,atomic_swarm,scot,0.6654000000000001
gemma-27b,hybrid,few_shot,0.65788
gemma-27b,coa,scot,0.63264
gemma-27b,hybrid,cot,0.62052
gemma-27b,self_healing,zero_shot,0.09523809523809523
gemma-27b,self_healing,few_shot,0.0
gemma-1b,actor_critic,few_shot,0.525
gemma-1b,hybrid,few_shot,0.38604
gemma-1b,adversarial,few_shot,0.34572
gemma-1b,adversarial,zero_shot,0.28108
gemma-1b,actor_critic,zero_shot,0.27816
gemma-1b,hybrid,scot,0.26496000000000003
gemma-1b,hybrid,zero_shot,0.25816
gemma-1b,swarm,few_shot,0.17028
gemma-1b,adversarial,scot,0.16476
gemma-1b,actor_critic,scot,0.15272
gemma-1b,consensus,zero_shot,0.12136
gemma-1b,consensus,few_shot,0.12
gemma-1b,baseline,zero_shot,0.11748000000000001
gemma-1b,swarm,zero_shot,0.10800000000000001
gemma-1b,baseline,few_shot,0.10332000000000001
gemma-1b,soa,zero_shot,0.06939999999999999
gemma-1b,swarm,cot,0.05236
gemma-1b,baseline,scot,0.050760000000000007
gemma-1b,swarm,scot,0.050760000000000007
gemma-1b,soa,scot,0.049640000000000004
gemma-1b,atomic_swarm,few_shot,0.04
gemma-1b,soa,few_shot,0.04
gemma-1b,coa,few_shot,0.033319999999999995
gemma-1b,coa,scot,0.03248
gemma-1b,self_healing,scot,0.027999999999999997
gemma-1b,atomic_swarm,scot,0.02544
gemma-1b,soa,cot,0.01332
gemma-1b,actor_critic,cot,0.0
gemma-1b,adversarial,cot,0.0
gemma-1b,atomic_swarm,cot,0.0
gemma-1b,atomic_swarm,zero_shot,0.0
gemma-1b,baseline,cot,0.0
gemma-1b,coa,cot,0.0
gemma-1b,coa,zero_shot,0.0
gemma-1b,consensus,cot,0.0
gemma-1b,consensus,scot,0.0
gemma-1b,hybrid,cot,0.0
gemma-1b,self_healing,cot,0.0
gemma-1b,self_healing,few_shot,0.0
gemma-1b,self_healing,zero_shot,0.0
gemma-12b,coa,zero_shot,0.8667999999999999
gemma-12b,consensus,zero_shot,0.7729999999999999
gemma-12b,atomic_swarm,zero_shot,0.7333999999999999
gemma-12b,soa,zero_shot,0.7092
gemma-12b,baseline,few_shot,0.68052
gemma-12b,self_healing,scot,0.6726190476190477
gemma-12b,baseline,scot,0.64048
gemma-12b,self_healing,cot,0.636047619047619
gemma-12b,baseline,cot,0.63568
gemma-12b,adversarial,cot,0.6203181818181819
gemma-12b,adversarial,scot,0.5398636363636364
gemma-12b,baseline,zero_shot,0.46696
gemma-12b,adversarial,zero_shot,0.33145454545454545
gemma-12b,adversarial,few_shot,0.18872727272727274
gemma-12b,self_healing,zero_shot,0.18409090909090908
