task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,elapsed_s,prompt_tokens,completion_tokens,total_tokens
HumanEval/139,cot,chatgpt-oss,11,4,0,15,0.733,100.0,,1.0,2.0,89.1,2.93,0.042,44.68,251,960,1211
HumanEval/139,baseline,chatgpt-oss,18,4,0,22,0.818,95.0,,1.0,2.17,80.18,5.4,0.028,44.71,199,1541,1740
HumanEval/139,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,1.75,87.18,5.07,0.046,45.82,373,2229,2602
HumanEval/140,cot,chatgpt-oss,22,2,0,24,0.917,100.0,,1.0,1.5,99.2,3.57,0.027,45.21,262,937,1199
HumanEval/140,baseline,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.33,86.92,5.14,0.017,46.32,210,1477,1687
HumanEval/140,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.27,72.43,8.71,0.026,47.94,384,2106,2490
HumanEval/141,cot,chatgpt-oss,32,0,0,32,1.0,100.0,,0.25,4.25,83.6,3.36,0.037,48.09,370,1132,1502
HumanEval/141,baseline,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.0,100.0,2.45,0.032,49.08,318,1158,1476
HumanEval/141,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.12,78.04,5.18,0.02,49.73,492,1788,2280
HumanEval/142,baseline,chatgpt-oss,13,1,0,14,0.929,100.0,,1.0,2.5,83.7,3.95,0.044,59.33,273,1426,1699
HumanEval/142,cot,chatgpt-oss,22,3,0,25,0.88,100.0,,1.0,2.6,74.94,3.84,0.045,59.41,325,1636,1961
HumanEval/142,few_shot,chatgpt-oss,0,0,1,1,0.0,,,1.0,2.27,68.95,6.11,0.034,60.64,447,2171,2618
HumanEval/143,cot,chatgpt-oss,12,1,0,13,0.923,100.0,,1.0,2.0,92.12,2.75,0.038,35.67,303,1356,1659
