task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,prompt_tokens,completion_tokens,total_tokens,norm_config
HumanEval/139,actor_critic,gemma-27b:cot,5,2,0,7,0.714,84.0,0.0,1.0,3.0,67.33,3.6,0.297,2724.0,0.0,2724.0,
HumanEval/140,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,
HumanEval/141,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,
HumanEval/142,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,
HumanEval/143,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,
HumanEval/144,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,
HumanEval/145,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,
HumanEval/146,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,
HumanEval/147,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,
HumanEval/148,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,
HumanEval/149,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,
HumanEval/150,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,
HumanEval/151,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,
HumanEval/152,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,
HumanEval/153,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,
HumanEval/154,actor_critic,gemma-27b:cot,8,7,0,15,0.533,93.0,0.0,1.0,3.67,47.43,5.06,0.059,5653.0,1102.0,6755.0,
HumanEval/155,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,
HumanEval/156,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,
HumanEval/157,actor_critic,gemma-27b:cot,27,7,0,34,0.794,97.0,0.0,1.0,1.8,70.09,10.09,0.239,3596.0,650.0,4246.0,
HumanEval/158,actor_critic,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,
HumanEval/159,actor_critic,gemma-27b:cot,23,9,0,32,0.719,100.0,0.0,1.0,1.91,37.15,2.38,0.023,5370.0,799.0,6169.0,
HumanEval/160,actor_critic,gemma-27b:cot,24,19,0,43,0.558,100.0,0.0,1.0,1.58,32.77,4.38,0.011,6502.0,1224.0,7726.0,
HumanEval/161,actor_critic,gemma-27b:cot,26,9,0,35,0.743,100.0,0.0,1.0,4.0,98.9,2.58,0.03,3309.0,1031.0,4340.0,
HumanEval/162,actor_critic,gemma-27b:cot,3,13,0,16,0.188,100.0,0.0,1.0,1.62,56.56,3.64,0.052,3984.0,991.0,4975.0,
HumanEval/163,actor_critic,gemma-27b:cot,14,14,0,28,0.5,100.0,0.0,1.0,1.67,59.67,4.64,0.044,5031.0,851.0,5882.0,
HumanEval/139,adversarial,gemma-27b:cot,2,3,0,5,0.4,100.0,0.0,1.0,2.2,72.87,1.67,0.082,5325.0,0.0,5325.0,
HumanEval/140,adversarial,gemma-27b:cot,13,1,0,14,0.929,100.0,0.0,1.0,2.0,49.59,2.14,0.044,398.0,0.0,398.0,
HumanEval/141,adversarial,gemma-27b:cot,7,0,0,7,1.0,100.0,0.0,0.25,5.57,41.63,1.82,0.016,2880.0,0.0,2880.0,
HumanEval/142,adversarial,gemma-27b:cot,5,9,0,14,0.357,100.0,0.0,1.0,2.0,43.32,1.53,0.048,0.0,0.0,0.0,
HumanEval/143,adversarial,gemma-27b:cot,7,6,0,13,0.538,61.0,0.0,1.0,2.43,42.94,2.1,0.024,3319.0,0.0,3319.0,
HumanEval/144,adversarial,gemma-27b:cot,6,1,0,7,0.857,97.0,0.0,1.0,4.71,44.72,2.62,0.063,1336.0,0.0,1336.0,
HumanEval/145,adversarial,gemma-27b:cot,8,6,0,14,0.571,100.0,0.0,1.0,2.0,46.1,1.45,0.03,195.0,0.0,195.0,
HumanEval/146,adversarial,gemma-27b:cot,14,3,0,17,0.824,100.0,0.0,1.0,1.94,45.9,2.77,0.096,794.0,0.0,794.0,
HumanEval/147,adversarial,gemma-27b:cot,7,9,0,16,0.438,100.0,0.0,1.0,1.88,47.15,2.29,0.02,2749.0,0.0,2749.0,
HumanEval/148,adversarial,gemma-27b:cot,5,1,0,6,0.833,88.0,0.0,1.0,4.83,46.15,1.48,0.025,279.0,0.0,279.0,
HumanEval/149,adversarial,gemma-27b:cot,9,4,0,13,0.692,100.0,0.0,1.0,2.0,51.01,1.29,0.055,299.0,0.0,299.0,
HumanEval/150,adversarial,gemma-27b:cot,4,0,0,4,1.0,63.0,0.0,0.5,7.6,60.22,4.5,0.064,499.0,0.0,499.0,
HumanEval/151,adversarial,gemma-27b:cot,13,2,0,15,0.867,100.0,0.0,1.0,2.0,45.83,2.07,0.009,217.0,0.0,217.0,
HumanEval/152,adversarial,gemma-27b:cot,8,1,0,9,0.889,94.0,0.0,1.0,2.67,47.7,2.23,0.041,642.0,0.0,642.0,
HumanEval/153,adversarial,gemma-27b:cot,14,1,0,15,0.933,98.0,0.0,1.0,2.0,48.87,1.15,0.035,0.0,0.0,0.0,
HumanEval/154,adversarial,gemma-27b:cot,19,1,0,20,0.95,100.0,0.0,1.0,2.0,44.44,2.41,0.05,643.0,0.0,643.0,
HumanEval/155,adversarial,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.025,430.0,0.0,430.0,
HumanEval/156,adversarial,gemma-27b:cot,0,0,1,1,0.0,,0.0,1.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,
HumanEval/157,adversarial,gemma-27b:cot,4,3,0,7,0.571,84.0,0.0,1.0,4.86,60.31,3.18,0.072,396.0,0.0,396.0,
HumanEval/158,adversarial,gemma-27b:cot,14,1,0,15,0.933,100.0,0.0,1.0,2.0,48.87,2.07,0.046,947.0,0.0,947.0,
HumanEval/159,adversarial,gemma-27b:cot,7,0,0,7,1.0,100.0,0.0,0.2,4.57,44.97,1.14,0.039,527.0,0.0,527.0,
HumanEval/160,adversarial,gemma-27b:cot,11,5,0,16,0.688,100.0,0.0,1.0,2.0,47.58,1.27,0.066,1610.0,0.0,1610.0,
HumanEval/161,adversarial,gemma-27b:cot,11,4,0,15,0.733,100.0,0.0,1.0,2.0,48.87,1.63,0.085,0.0,0.0,0.0,
HumanEval/162,adversarial,gemma-27b:cot,3,5,0,8,0.375,100.0,0.0,1.0,2.0,56.89,1.73,0.023,156.0,0.0,156.0,
