task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,elapsed_s,prompt_tokens,completion_tokens,total_tokens
HumanEval/139,baseline,gemma-1b:scot,0,0,0,0,0,19.0,,1.0,3.0,92.44,1.13,0.8,174.04,761,608,1369
HumanEval/139,baseline,gemma-1b:cot,0,0,0,0,0,19.0,,1.0,2.0,84.76,0.93,0.843,174.38,534,459,993
HumanEval/139,baseline,gemma-1b:zero_shot,5,1,0,6,0.833,79.0,,1.0,2.14,84.24,1.93,0.497,179.32,3187,2603,5790
HumanEval/139,baseline,gemma-1b:few_shot,1,2,0,3,0.333,74.0,,1.0,2.25,89.72,1.53,0.592,179.47,3513,2819,6332
HumanEval/139,self_healing,gemma-1b:few_shot,0,0,0,0,0,12.0,,1.0,4.0,93.1,1.27,0.738,218.08,4160,4806,8966
HumanEval/139,self_healing,gemma-1b:cot,0,0,0,0,0,12.0,,1.0,4.0,93.1,1.27,0.738,218.1,4160,4806,8966
HumanEval/139,self_healing,gemma-1b:scot,0,0,0,0,0,16.0,,1.0,4.0,93.19,1.33,0.754,218.27,4160,4806,8966
HumanEval/139,self_healing,gemma-1b:zero_shot,0,0,0,0,0,16.0,,1.0,4.0,93.19,1.33,0.754,221.15,4160,4806,8966
HumanEval/139,adversarial,gemma-1b:cot,0,0,0,0,0,15.0,,1.0,3.0,90.69,1.07,0.812,308.49,197,146,343
HumanEval/139,actor_critic,gemma-1b:few_shot,2,2,0,4,0.5,79.0,,1.0,2.4,85.66,1.87,0.533,388.31,505,148,653
HumanEval/139,actor_critic,gemma-1b:scot,6,5,0,11,0.545,85.0,,1.0,2.17,74.05,2.8,0.345,389.97,1316,483,1799
HumanEval/139,actor_critic,gemma-1b:cot,0,0,0,0,0,12.0,,1.0,4.0,93.1,1.27,0.738,390.34,2331,1468,3799
HumanEval/139,actor_critic,gemma-1b:zero_shot,7,2,0,9,0.778,85.0,,1.0,2.7,72.42,2.87,0.366,393.72,3385,1914,5299
HumanEval/139,adversarial,gemma-1b:scot,5,1,0,6,0.833,81.0,,1.0,2.29,82.0,2.13,0.469,412.17,0,0,0
HumanEval/139,adversarial,gemma-1b:few_shot,2,2,0,4,0.5,79.0,,1.0,2.4,85.66,1.87,0.533,413.0,0,0,0
HumanEval/139,adversarial,gemma-1b:zero_shot,3,1,0,4,0.75,79.0,,1.0,2.4,85.73,1.87,0.534,414.26,0,0,0
HumanEval/139,soa,gemma-1b:zero_shot,0,0,1,1,0.0,,,1.0,0,0,0,0.477,398.52,5202,3948,9150
HumanEval/139,soa,gemma-1b:cot,0,0,0,0,0,12.0,,1.0,4.0,92.66,1.2,0.752,403.55,6173,4429,10602
HumanEval/139,soa,gemma-1b:scot,0,0,0,0,0,7.0,,1.0,13.0,78.21,2.47,0.567,406.19,6402,4732,11134
HumanEval/139,soa,gemma-1b:few_shot,0,0,0,0,0,15.0,,1.0,3.0,90.69,1.07,0.812,403.86,6730,4878,11608
HumanEval/139,swarm,gemma-1b:cot,0,0,1,1,0.0,,,1.0,0,0,0,0.093,655.45,588,417,1005
HumanEval/139,swarm,gemma-1b:zero_shot,0,0,0,0,0,6.0,,1.0,12.0,68.39,4.53,0.344,665.99,1814,1009,2823
HumanEval/139,consensus,gemma-1b:zero_shot,0,0,0,0,0,19.0,,1.0,3.0,92.44,1.13,0.8,375.64,2579,1153,3732
