task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens,execution_time,generation_status,generation_error_type,generation_error_message,generation_attempts
HumanEval/157,baseline,gemma-4-4b:few_shot,7,0,0,7,1.0,95.35,100.0,0.2,2.82,72.49,5.18,0.299,23,3,3,0.0,0.775,526,839,1365,9.81,ok,,,1
HumanEval/140,adversarial,gemma-4-4b:scot,0,0,0,0,0,13.89,0.0,0.0,3.5,81.91,2.64,0.469,0,0,0,1.0,0.0,1867,5354,8051,44.21,ok,,,1
HumanEval/162,baseline,gemma-4-4b:scot,0,0,0,0,0,27.78,0.0,0.0,1.5,91.08,1.45,0.571,0,0,0,1.0,0.0,889,1054,1943,33.22,ok,,,1
HumanEval/158,hybrid,gemma-4-4b:few_shot,4,0,0,4,1.0,43.4,14.29,0.0,2.38,78.11,3.2,0.418,5,2,3,0.0,0.608,889,1054,1943,50.36,ok,,,1
HumanEval/154,actor_critic,gemma-4-4b:zero_shot,0,0,1,1,0.0,,,0.0,2.05,68.56,3.59,0.33,0,0,0,1.0,0.0,1900,1787,3687,66.84,ok,,,1
HumanEval/157,adversarial,gemma-4-4b:few_shot,10,1,0,11,0.909,96.3,100.0,0.0,2.73,67.8,6.45,0.247,30,3,3,0.0,0.775,533,1599,2132,36.89,ok,,,1
HumanEval/148,actor_critic,gemma-4-4b:few_shot,7,1,0,8,0.875,60.87,25.0,0.0,2.2,73.58,2.9,0.509,7,0,3,0.0,0.575,670,184,854,87.13,ok,,,1
HumanEval/158,consensus,gemma-4-4b:few_shot,0,0,0,0,0,16.67,0.0,0.0,3.5,84.48,2.07,0.536,0,0,0,1.0,0.0,4673,7109,14921,125.52,ok,,,1
HumanEval/160,adversarial,gemma-4-4b:few_shot,14,9,0,23,0.609,77.27,66.67,0.0,2.0,77.93,3.81,0.387,8,0,4,0.0,0.65,636,1638,2274,46.25,ok,,,1
HumanEval/140,actor_critic,gemma-4-4b:scot,7,2,0,9,0.778,51.61,14.29,0.0,2.36,71.51,4.36,0.305,8,1,3,0.0,0.642,935,544,1479,90.11,ok,,,1
HumanEval/157,hybrid,gemma-4-4b:scot,3,4,0,7,0.429,61.67,62.0,0.0,4.25,54.34,5.18,0.048,0,0,0,1.0,0.0,1583,1890,3473,82.84,ok,,,1
