task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens
HumanEval/140,soa,gemma-31b:zero_shot,24,2,0,26,0.923,100.0,100.0,1.0,2.0,100.0,2.79,0.042,2,1,4,0.0,0.542,533,480,2543
HumanEval/148,baseline,gemma-31b:few_shot,5,1,0,6,0.833,94.29,100.0,1.0,4.0,72.02,1.71,0.081,12,0,3,0.0,0.65,2527,4653,16524
HumanEval/146,adversarial,gemma-31b:few_shot,12,0,0,12,1.0,100.0,100.0,0.5,2.62,74.12,4.38,0.08,14,1,4,0.0,0.742,348,842,1965
HumanEval/146,self_healing,gemma-31b:cot,0,0,0,0,0.0,12.0,0.0,1.0,5.0,91.47,1.23,0.789,0,0,0,1.0,0.0,2352,1169,11118
HumanEval/149,self_healing,gemma-31b:zero_shot,0,0,0,0,0.0,21.43,0.0,1.0,3.0,49.64,0.95,0.779,0,0,0,1.0,0.0,1237,928,4711
HumanEval/144,hybrid,gemma-31b:few_shot,31,0,0,31,1.0,100.0,100.0,0.0,2.5,96.32,3.54,0.069,5,0,4,0.0,0.575,2373,2546,7831
HumanEval/151,self_healing,gemma-31b:scot,0,0,0,0,0.0,23.08,0.0,1.0,5.0,48.04,0.73,0.81,0,0,0,1.0,0.0,857,188,3454
HumanEval/143,atomic_swarm,gemma-31b:cot,3,0,0,3,1.0,100.0,100.0,0.333,2.0,69.94,0.4,0.02,3,0,3,0.0,0.475,210,34,1740
HumanEval/149,coa,gemma-31b:cot,9,0,0,9,1.0,100.0,100.0,0.75,2.0,82.36,1.24,0.017,9,1,3,0.0,0.667,672,1569,9156
HumanEval/157,hybrid,gemma-31b:few_shot,0,0,0,0,0.0,75.0,75.0,1.0,1.0,100.0,0.18,0.297,0,0,0,1.0,0.0,1566,756,3513
HumanEval/144,soa,gemma-31b:zero_shot,29,0,0,29,1.0,100.0,100.0,0.25,2.0,100.0,3.15,0.038,2,0,4,0.0,0.5,493,1138,2750
HumanEval/144,soa,gemma-31b:cot,20,0,0,20,1.0,100.0,100.0,0.25,2.0,100.0,2.31,0.086,2,0,4,0.0,0.5,863,1624,4948
HumanEval/143,self_healing,gemma-31b:zero_shot,0,0,0,0,0.0,13.64,0.0,1.0,3.0,81.36,1.35,0.809,0,0,0,1.0,0.0,1155,266,8441
HumanEval/155,swarm,gemma-31b:few_shot,1,0,0,1,1.0,100.0,100.0,0.4,2.0,81.86,0.36,0.13,1,1,3,0.0,0.467,470,74,1324
HumanEval/161,competitive,gemma-31b:cot,15,0,0,15,1.0,100.0,100.0,0.667,2.0,81.86,1.05,0.036,2,0,4,0.0,0.5,178,211,828
HumanEval/160,baseline,gemma-31b:few_shot,12,0,0,12,1.0,100.0,100.0,0.0,2.08,78.69,1.27,0.048,25,1,3,0.0,0.692,1503,2898,15164
HumanEval/162,actor_critic,gemma-31b:cot,18,0,0,18,1.0,100.0,100.0,0.25,1.83,88.27,3.91,0.045,0,0,0,1.0,0.0,3220,1944,15381
HumanEval/152,consensus,gemma-31b:scot,23,0,0,23,1.0,100.0,100.0,0.0,2.0,59.68,2.77,0.039,4,0,4,0.0,0.55,1823,806,5154
HumanEval/145,soa,gemma-31b:scot,15,4,0,19,0.789,100.0,100.0,1.0,2.25,83.37,3.1,0.072,2,0,4,0.0,0.5,182,1031,7387
HumanEval/145,hybrid,gemma-31b:zero_shot,14,0,0,14,1.0,76.6,50.0,0.0,2.4,68.98,4.25,0.051,0,0,0,1.0,0.0,4019,2901,9531
HumanEval/153,actor_critic,gemma-31b:zero_shot,14,0,0,14,1.0,58.97,25.0,0.0,2.0,86.03,2.04,0.098,7,1,4,0.0,0.667,2169,1501,7304
HumanEval/145,baseline,gemma-31b:cot,9,0,0,9,1.0,100.0,100.0,0.0,2.89,70.94,3.0,0.021,17,2,3,0.0,0.733,1007,3447,12944
HumanEval/143,soa,gemma-31b:scot,15,2,0,17,0.882,100.0,100.0,1.0,2.0,82.91,2.1,0.037,6,0,4,0.0,0.6,212,674,2076
HumanEval/156,hybrid,gemma-31b:few_shot,0,0,0,0,0.0,25.0,25.0,1.0,1.0,100.0,0.26,0.23,0,0,0,1.0,0.0,2234,2434,7311
HumanEval/157,soa,gemma-31b:zero_shot,16,3,0,19,0.842,100.0,100.0,1.0,2.0,100.0,2.64,0.055,1,0,4,0.0,0.475,166,427,1204
HumanEval/152,baseline,gemma-31b:cot,13,0,0,13,1.0,100.0,100.0,0.0,2.5,96.99,3.0,0.03,2,0,4,0.0,0.5,514,636,2222
HumanEval/156,coa,gemma-31b:scot,21,1,0,22,0.955,100.0,100.0,1.0,1.78,70.13,2.21,0.051,10,0,5,0.0,0.75,797,2079,6445
HumanEval/143,hybrid,gemma-31b:scot,25,0,0,25,1.0,100.0,100.0,1.0,3.33,76.21,3.7,0.043,9,0,5,0.0,0.725,2599,1521,5860
HumanEval/146,soa,gemma-31b:scot,23,0,0,23,1.0,100.0,100.0,0.5,2.0,100.0,2.62,0.045,2,0,4,0.0,0.5,183,664,1669
