task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,elapsed_s,prompt_tokens,completion_tokens,total_tokens
HumanEval/139,competitive,gemma-1b:few_shot,0,0,0,0,0,19.0,,1.0,2.0,84.76,0.93,0.843,,1590,532,2122
HumanEval/139,competitive,gemma-1b:cot,0,0,0,0,0,19.0,,1.0,2.0,84.76,0.93,0.843,,1590,532,2122
HumanEval/139,competitive,gemma-1b:zero_shot,0,0,0,0,0,19.0,,1.0,2.0,84.76,0.93,0.843,,1590,532,2122
HumanEval/139,competitive,gemma-1b:scot,0,0,0,0,0,19.0,,1.0,2.0,84.76,0.93,0.843,,1590,532,2122
HumanEval/139,competitive,gemma-4b:cot,2,2,0,4,0.5,75.0,,1.0,3.6,78.21,2.27,0.442,,1590,532,2122
HumanEval/139,competitive,gemma-4b:zero_shot,2,2,0,4,0.5,75.0,,1.0,3.6,78.21,2.27,0.442,,1590,532,2122
HumanEval/139,competitive,gemma-4b:few_shot,2,2,0,4,0.5,75.0,,1.0,3.6,78.21,2.27,0.442,,1590,532,2122
HumanEval/139,competitive,gemma-4b:scot,2,2,0,4,0.5,75.0,,1.0,3.6,78.21,2.27,0.442,,1590,532,2122
HumanEval/139,competitive,gemma-12b:cot,2,3,0,5,0.4,88.0,,1.0,2.8,64.95,1.67,0.085,,1590,532,2122
HumanEval/139,competitive,gemma-12b:zero_shot,2,3,0,5,0.4,88.0,,1.0,2.8,64.95,1.67,0.085,,1590,532,2122
HumanEval/140,competitive,gemma-1b:zero_shot,0,0,0,0,0,12.0,,1.0,4.0,91.72,1.21,0.441,,1674,488,2162
HumanEval/140,competitive,gemma-1b:cot,0,0,0,0,0,12.0,,1.0,4.0,91.72,1.21,0.441,,1674,488,2162
HumanEval/140,competitive,gemma-1b:scot,0,0,0,0,0,12.0,,1.0,4.0,91.72,1.21,0.443,,1674,488,2162
HumanEval/140,competitive,gemma-1b:few_shot,0,0,0,0,0,12.0,,1.0,4.0,91.72,1.21,0.441,,1674,488,2162
HumanEval/139,competitive,gemma-27b:cot,2,1,0,3,0.667,78.0,,1.0,3.25,56.59,1.13,0.167,,1674,488,2162
HumanEval/139,competitive,gemma-27b:zero_shot,2,1,0,3,0.667,78.0,,1.0,3.25,56.59,1.13,0.167,,1674,488,2162
HumanEval/139,competitive,gemma-12b:scot,2,3,0,5,0.4,91.0,,1.0,2.8,64.95,1.67,0.098,,1674,488,2162
HumanEval/139,competitive,gemma-12b:few_shot,2,3,0,5,0.4,91.0,,1.0,2.8,64.95,1.67,0.098,,1674,488,2162
HumanEval/139,competitive,gemma-27b:scot,2,1,0,3,0.667,78.0,,1.0,3.25,56.59,1.13,0.167,,1674,488,2162
HumanEval/139,competitive,gemma-27b:few_shot,2,1,0,3,0.667,78.0,,1.0,3.25,56.59,1.13,0.167,,1674,488,2162
HumanEval/140,competitive,gemma-4b:cot,4,4,0,8,0.5,86.0,,1.0,2.22,75.72,2.86,0.43,,1068,0,1068
HumanEval/140,competitive,gemma-4b:zero_shot,5,5,0,10,0.5,87.0,,1.0,2.18,74.11,3.0,0.39,,1424,0,1424
HumanEval/140,competitive,gemma-4b:scot,4,4,0,8,0.5,86.0,,1.0,2.22,75.72,2.86,0.43,,1424,0,1424
HumanEval/140,competitive,gemma-4b:few_shot,4,4,0,8,0.5,86.0,,1.0,2.22,75.72,2.86,0.422,,1780,0,1780
HumanEval/140,competitive,gemma-12b:few_shot,8,4,0,12,0.667,100.0,,1.0,2.0,52.19,1.79,0.086,,1780,0,1780
HumanEval/140,competitive,gemma-12b:zero_shot,6,6,0,12,0.5,100.0,,1.0,2.0,52.19,1.79,0.087,,1780,0,1780
