task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,elapsed_s,prompt_tokens,completion_tokens,total_tokens
HumanEval/139,competitive,gemma-1b:zero_shot,0,0,0,0,0,19.0,,1.0,2.0,84.76,0.93,0.843,,1590,532,2122
HumanEval/139,competitive,gemma-1b:few_shot,0,0,0,0,0,19.0,,1.0,2.0,84.76,0.93,0.843,,1590,532,2122
HumanEval/139,competitive,gemma-1b:scot,0,0,0,0,0,19.0,,1.0,2.0,84.76,0.93,0.843,,1590,532,2122
HumanEval/139,competitive,gemma-1b:cot,0,0,0,0,0,19.0,,1.0,2.0,84.76,0.93,0.843,,1590,532,2122
HumanEval/139,competitive,gemma-4b:few_shot,2,2,0,4,0.5,75.0,,1.0,3.6,78.21,2.27,0.442,,1590,532,2122
HumanEval/139,competitive,gemma-4b:scot,2,2,0,4,0.5,71.0,,1.0,4.0,74.91,2.4,0.396,,1590,532,2122
HumanEval/139,competitive,gemma-4b:zero_shot,2,2,0,4,0.5,75.0,,1.0,3.6,78.21,2.27,0.442,,1590,532,2122
HumanEval/139,competitive,gemma-4b:cot,2,2,0,4,0.5,71.0,,1.0,4.0,74.91,2.4,0.396,,1590,532,2122
HumanEval/139,competitive,gemma-12b:zero_shot,2,3,0,5,0.4,91.0,,1.0,2.8,64.95,1.67,0.098,,1590,532,2122
HumanEval/139,competitive,gemma-12b:cot,2,3,0,5,0.4,91.0,,1.0,2.8,64.95,1.67,0.098,,1590,532,2122
HumanEval/139,competitive,gemma-27b:zero_shot,0,0,1,1,0.0,,,1.0,0,0,0,0.036,,0,0,0
HumanEval/139,competitive,gemma-27b:cot,0,0,1,1,0.0,,,1.0,0,0,0,0.036,,0,0,0
HumanEval/139,competitive,gemma-27b:scot,0,0,1,1,0.0,,,1.0,0,0,0,0.036,,0,0,0
HumanEval/139,competitive,gemma-27b:few_shot,0,0,1,1,0.0,,,1.0,0,0,0,0.036,,0,0,0
HumanEval/140,competitive,gemma-1b:cot,0,0,0,0,0,12.0,,1.0,4.0,91.72,1.21,0.441,,1030,488,1518
HumanEval/140,competitive,gemma-1b:few_shot,0,0,0,0,0,12.0,,1.0,4.0,91.72,1.21,0.443,,1030,488,1518
HumanEval/140,competitive,gemma-1b:zero_shot,0,0,0,0,0,12.0,,1.0,4.0,91.72,1.21,0.441,,1030,488,1518
HumanEval/139,competitive,gemma-12b:few_shot,2,3,0,5,0.4,88.0,,1.0,2.8,64.95,1.67,0.085,,1030,488,1518
HumanEval/139,competitive,gemma-12b:scot,2,3,0,5,0.4,91.0,,1.0,2.8,64.95,1.67,0.098,,1030,488,1518
HumanEval/140,competitive,gemma-1b:scot,0,0,0,0,0,12.0,,1.0,4.0,91.72,1.21,0.441,,1030,488,1518
HumanEval/140,competitive,gemma-4b:zero_shot,5,3,0,8,0.625,86.0,,1.0,2.22,75.72,2.86,0.418,,178,0,178
HumanEval/140,competitive,gemma-27b:zero_shot,0,0,1,1,0.0,,,1.0,0,0,0,0.012,,0,0,0
HumanEval/140,competitive,gemma-27b:cot,0,0,1,1,0.0,,,1.0,0,0,0,0.012,,0,0,0
HumanEval/140,competitive,gemma-4b:cot,4,4,0,8,0.5,86.0,,1.0,2.22,75.72,2.86,0.43,,178,0,178
HumanEval/140,competitive,gemma-4b:few_shot,4,4,0,8,0.5,86.0,,1.0,2.22,75.72,2.86,0.422,,178,0,178
HumanEval/140,competitive,gemma-4b:scot,5,3,0,8,0.625,86.0,,1.0,2.22,77.06,2.71,0.438,,178,0,178
HumanEval/140,competitive,gemma-12b:zero_shot,8,4,0,12,0.667,100.0,,1.0,2.0,52.19,1.79,0.086,,712,0,712
HumanEval/140,competitive,gemma-27b:few_shot,0,0,1,1,0.0,,,1.0,0,0,0,0.012,,0,0,0
HumanEval/140,competitive,gemma-12b:scot,6,6,0,12,0.5,100.0,,1.0,2.0,52.19,1.79,0.087,,0,0,0
HumanEval/140,competitive,gemma-27b:scot,0,0,1,1,0.0,,,1.0,0,0,0,0.012,,0,0,0
HumanEval/140,competitive,gemma-12b:cot,8,4,0,12,0.667,100.0,,1.0,2.0,52.19,1.79,0.086,,0,0,0
HumanEval/140,competitive,gemma-12b:few_shot,8,4,0,12,0.667,100.0,,1.0,2.0,52.19,1.79,0.086,,0,0,0
HumanEval/141,competitive,gemma-4b:zero_shot,7,5,0,12,0.583,63.0,,1.0,2.54,69.83,2.59,0.488,,1746,0,1746
HumanEval/141,competitive,gemma-4b:cot,6,6,0,12,0.5,63.0,,1.0,2.54,69.83,2.59,0.487,,1746,0,1746
HumanEval/141,competitive,gemma-4b:few_shot,6,6,0,12,0.5,63.0,,1.0,2.54,69.83,2.59,0.487,,1746,0,1746
HumanEval/141,competitive,gemma-4b:scot,6,6,0,12,0.5,63.0,,1.0,2.54,69.83,2.59,0.488,,1746,0,1746
HumanEval/141,competitive,gemma-12b:zero_shot,6,4,0,10,0.6,89.0,,1.0,4.0,41.86,1.86,0.012,,1746,0,1746
HumanEval/141,competitive,gemma-12b:cot,8,1,0,9,0.889,98.0,,1.0,4.11,43.1,1.73,0.026,,1746,0,1746
HumanEval/141,competitive,gemma-1b:cot,0,0,0,0,0,10.0,,1.0,0,100.0,0.0,0.0,,0,0,0
HumanEval/141,competitive,gemma-27b:cot,0,0,1,1,0.0,,,1.0,0,0,0,0.018,,0,0,0
HumanEval/141,competitive,gemma-27b:zero_shot,0,0,1,1,0.0,,,1.0,0,0,0,0.018,,0,0,0
HumanEval/141,competitive,gemma-27b:scot,0,0,1,1,0.0,,,1.0,0,0,0,0.018,,0,0,0
HumanEval/141,competitive,gemma-27b:few_shot,0,0,1,1,0.0,,,1.0,0,0,0,0.018,,0,0,0
HumanEval/141,competitive,gemma-1b:zero_shot,0,0,1,1,0.0,,,1.0,0,0,0,0.001,,291,0,291
HumanEval/141,competitive,gemma-12b:scot,8,1,0,9,0.889,96.0,,1.0,3.89,44.15,1.64,0.013,,291,0,291
