task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,elapsed_s,prompt_tokens,completion_tokens,total_tokens
HumanEval/139,soa,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.8,70.02,1.6,0.105,15.13,1735.0,0.0,1735.0
HumanEval/139,soa,gemma-12b:cot,2,3,0,5,0.4,94.0,,1.0,2.8,64.95,1.67,0.08,25.66,356.0,0.0,356.0
HumanEval/139,soa,gemma-12b:few_shot,1,2,0,3,0.333,100.0,,1.0,4.0,75.88,0.87,0.095,27.7,549.0,0.0,549.0
HumanEval/140,soa,gemma-12b:cot,11,4,0,15,0.733,100.0,,1.0,2.0,48.87,2.21,0.07,28.96,225.0,0.0,225.0
HumanEval/139,soa,gemma-12b:scot,0,0,1,1,0.0,,,1.0,2.29,82.05,2.67,0.104,29.27,774.0,0.0,774.0
HumanEval/140,soa,gemma-12b:zero_shot,11,4,0,15,0.733,100.0,,1.0,2.0,48.87,2.21,0.062,29.3,941.0,0.0,941.0
HumanEval/140,soa,gemma-12b:scot,6,5,0,11,0.545,100.0,,1.0,2.0,53.46,1.64,0.059,18.58,398.0,0.0,398.0
HumanEval/140,soa,gemma-12b:few_shot,6,5,0,11,0.545,100.0,,1.0,2.0,53.88,1.57,0.08,17.4,497.0,0.0,497.0
HumanEval/141,soa,gemma-12b:scot,7,3,0,10,0.7,89.0,,1.0,4.2,40.91,1.95,0.011,16.3,907.0,0.0,907.0
HumanEval/141,soa,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,5.0,45.5,2.36,0.016,18.69,907.0,0.0,907.0
HumanEval/141,soa,gemma-12b:cot,9,2,0,11,0.818,95.0,,1.0,3.55,42.57,1.82,0.017,17.85,338.0,0.0,338.0
HumanEval/142,soa,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.0,57.58,1.58,0.024,14.53,776.0,0.0,776.0
HumanEval/142,soa,gemma-12b:scot,2,6,0,8,0.25,100.0,,1.0,2.0,40.23,2.47,0.06,19.7,512.0,0.0,512.0
HumanEval/142,soa,gemma-12b:cot,5,9,0,14,0.357,100.0,,1.0,2.0,48.61,1.53,0.019,20.62,794.0,0.0,794.0
HumanEval/142,soa,gemma-12b:few_shot,4,5,0,9,0.444,100.0,,1.0,2.0,49.21,0.95,0.057,21.33,1194.0,0.0,1194.0
HumanEval/143,soa,gemma-12b:zero_shot,8,5,0,13,0.615,94.0,,1.0,2.25,71.24,2.85,0.398,16.27,212.0,0.0,212.0
HumanEval/143,soa,gemma-12b:scot,3,8,0,11,0.273,94.0,,1.0,2.29,73.66,2.65,0.395,15.92,1048.0,0.0,1048.0
HumanEval/143,soa,gemma-12b:cot,7,6,0,13,0.538,94.0,,1.0,2.13,74.06,2.75,0.419,18.06,1318.0,0.0,1318.0
HumanEval/141,soa,gemma-12b:few_shot,0,0,1,1,0.0,,,1.0,0.0,0.0,0.0,0.004,56.22,759.0,0.0,759.0
HumanEval/143,soa,gemma-12b:few_shot,6,4,0,10,0.6,69.0,,1.0,2.18,50.08,1.4,0.04,20.05,1899.0,0.0,1899.0
HumanEval/144,soa,gemma-12b:zero_shot,15,2,0,17,0.882,94.0,,1.0,2.0,66.22,3.92,0.394,16.15,208.0,0.0,208.0
HumanEval/144,soa,gemma-12b:few_shot,9,3,0,12,0.75,97.0,,1.0,2.25,50.27,2.08,0.034,13.32,384.0,0.0,384.0
HumanEval/144,soa,gemma-12b:cot,15,0,0,15,1.0,93.0,,0.0,2.0,68.46,3.62,0.438,17.85,718.0,0.0,718.0
HumanEval/144,soa,gemma-12b:scot,10,2,0,12,0.833,100.0,,1.0,2.0,52.19,1.92,0.025,16.08,452.0,0.0,452.0
HumanEval/145,soa,gemma-12b:cot,10,2,0,12,0.833,77.0,,1.0,2.0,70.42,2.1,0.344,16.14,838.0,0.0,838.0
HumanEval/145,soa,gemma-12b:scot,6,6,0,12,0.5,77.0,,1.0,2.0,69.93,2.1,0.342,18.57,257.0,0.0,257.0
HumanEval/145,soa,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,1.69,49.81,2.75,0.046,22.76,891.0,0.0,891.0
HumanEval/145,soa,gemma-12b:few_shot,7,3,0,10,0.7,85.0,,1.0,2.0,49.9,1.3,0.049,17.4,524.0,0.0,524.0
HumanEval/146,soa,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,0.0,0.0,0.0,0.02,21.22,1281.0,0.0,1281.0
HumanEval/146,soa,gemma-12b:cot,11,2,0,13,0.846,84.0,,1.0,2.27,64.94,3.46,0.3,20.87,409.0,0.0,409.0
HumanEval/146,soa,gemma-12b:few_shot,8,3,0,11,0.727,100.0,,1.0,2.0,51.83,1.77,0.046,16.58,527.0,0.0,527.0
HumanEval/146,soa,gemma-12b:scot,8,6,0,14,0.571,84.0,,1.0,2.25,63.9,3.62,0.286,19.77,787.0,0.0,787.0
HumanEval/147,soa,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,1.89,55.31,2.35,0.01,18.28,673.0,0.0,673.0
HumanEval/147,soa,gemma-12b:cot,0,0,1,1,0.0,,,1.0,2.18,60.7,1.76,0.011,15.63,964.0,0.0,964.0
HumanEval/147,soa,gemma-12b:scot,0,0,1,1,0.0,,,1.0,2.07,59.56,1.71,0.02,16.52,310.0,0.0,310.0
HumanEval/147,soa,gemma-12b:few_shot,4,6,0,10,0.4,100.0,,1.0,2.0,54.83,1.24,0.017,23.81,642.0,0.0,642.0
HumanEval/148,soa,gemma-12b:cot,2,2,0,4,0.5,81.0,,1.0,9.0,41.18,1.86,0.022,20.35,2657.0,0.0,2657.0
HumanEval/148,soa,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,5.57,50.0,2.0,0.012,22.32,2340.0,0.0,2340.0
HumanEval/148,soa,gemma-12b:few_shot,11,1,0,12,0.917,100.0,,1.0,2.0,51.82,1.24,0.016,18.67,435.0,0.0,435.0
HumanEval/148,soa,gemma-12b:scot,9,4,0,13,0.692,86.0,,1.0,2.13,72.37,2.52,0.561,21.3,587.0,0.0,587.0
HumanEval/149,soa,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.0,57.79,1.62,0.035,16.71,252.0,0.0,252.0
HumanEval/149,soa,gemma-12b:scot,9,1,0,10,0.9,94.0,,1.0,2.1,50.33,1.52,0.055,15.9,818.0,0.0,818.0
HumanEval/149,soa,gemma-12b:few_shot,9,2,0,11,0.818,100.0,,1.0,2.0,53.46,1.1,0.045,16.18,1556.0,0.0,1556.0
HumanEval/149,soa,gemma-12b:cot,9,3,0,12,0.75,100.0,,1.0,2.0,52.19,1.19,0.059,16.78,1128.0,0.0,1128.0
HumanEval/150,soa,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,4.22,59.85,4.0,0.095,17.12,576.0,0.0,576.0
HumanEval/150,soa,gemma-12b:scot,5,0,0,5,1.0,93.0,,0.25,3.88,67.38,4.6,0.271,16.49,620.0,0.0,620.0
HumanEval/150,soa,gemma-12b:cot,8,0,0,8,1.0,76.0,,0.5,4.0,41.83,4.1,0.067,20.66,395.0,0.0,395.0
HumanEval/150,soa,gemma-12b:few_shot,3,0,0,3,1.0,66.0,,0.5,5.0,49.67,2.4,0.148,18.96,944.0,0.0,944.0
HumanEval/151,soa,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.0,51.42,2.67,0.058,24.16,202.0,0.0,202.0
HumanEval/151,soa,gemma-12b:scot,11,0,0,11,1.0,80.0,,0.167,2.31,71.2,2.6,0.429,22.15,279.0,0.0,279.0
HumanEval/151,soa,gemma-12b:cot,12,4,0,16,0.75,100.0,,1.0,2.0,45.24,2.2,0.036,24.58,462.0,0.0,462.0
HumanEval/151,soa,gemma-12b:few_shot,9,2,0,11,0.818,100.0,,1.0,2.0,50.73,1.53,0.169,22.57,567.0,0.0,567.0
HumanEval/152,soa,gemma-12b:few_shot,8,2,0,10,0.8,96.0,,1.0,2.2,52.21,1.69,0.021,12.73,1016.0,0.0,1016.0
HumanEval/152,soa,gemma-12b:cot,9,1,0,10,0.9,98.0,,1.0,1.92,73.15,3.62,0.536,16.31,910.0,0.0,910.0
HumanEval/152,soa,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,1.92,58.91,2.54,0.041,19.0,564.0,0.0,564.0
HumanEval/152,soa,gemma-12b:scot,10,0,0,10,1.0,97.0,,0.0,2.25,74.38,3.23,0.554,17.49,365.0,0.0,365.0
HumanEval/153,soa,gemma-12b:zero_shot,14,0,0,14,1.0,78.0,,0.2,2.31,68.88,2.3,0.474,18.36,1324.0,0.0,1324.0
HumanEval/153,soa,gemma-12b:cot,0,15,0,15,0.0,65.0,,1.0,2.12,74.74,1.96,0.474,21.44,1713.0,0.0,1713.0
HumanEval/153,soa,gemma-12b:few_shot,10,2,0,12,0.833,98.0,,1.0,2.0,52.19,0.93,0.039,18.08,2588.0,0.0,2588.0
