task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens,execution_time,generation_status,generation_error_type,generation_error_message,generation_attempts
HumanEval/157,baseline,gemma-4-4b:few_shot,7,0,0,7,1.0,97.56,100.0,0.2,3.0,70.38,4.27,0.346,23,3,3,0.0,0.775,526,839,1365,9.81,ok,,,1
HumanEval/140,adversarial,gemma-4-4b:scot,0,0,0,0,0,8.82,0.0,0.0,6.0,85.55,1.93,0.615,0,0,0,1.0,0.0,1867,5354,8051,44.21,ok,,,1
HumanEval/162,baseline,gemma-4-4b:scot,0,0,0,0,0,18.75,0.0,0.0,2.0,100.0,0.91,0.761,0,0,0,1.0,0.0,889,1054,1943,33.22,ok,,,1
HumanEval/158,hybrid,gemma-4-4b:few_shot,4,0,0,4,1.0,41.18,14.29,0.0,2.57,76.17,2.6,0.428,5,2,3,0.0,0.608,889,1054,1943,50.36,ok,,,1
HumanEval/154,actor_critic,gemma-4-4b:zero_shot,0,0,1,1,0.0,,,0.0,2.11,63.96,3.06,0.346,0,0,0,1.0,0.0,1900,1787,3687,66.84,ok,,,1
HumanEval/157,adversarial,gemma-4-4b:few_shot,10,1,0,11,0.909,98.08,100.0,0.0,2.86,66.35,5.55,0.278,30,3,3,0.0,0.775,533,1599,2132,36.89,ok,,,1
HumanEval/148,actor_critic,gemma-4-4b:few_shot,7,1,0,8,0.875,84.09,75.0,0.0,2.33,78.78,2.14,0.636,7,0,3,0.0,0.575,670,184,854,87.13,ok,,,1
HumanEval/158,consensus,gemma-4-4b:few_shot,0,0,0,0,0,11.76,0.0,0.0,6.0,90.28,1.47,0.694,0,0,0,1.0,0.0,4673,7109,14921,125.52,ok,,,1
HumanEval/160,adversarial,gemma-4-4b:few_shot,13,10,0,23,0.565,78.57,66.67,0.0,2.14,77.28,3.0,0.483,8,0,4,0.0,0.65,636,1638,2274,46.25,ok,,,1
HumanEval/140,actor_critic,gemma-4-4b:scot,4,5,0,9,0.444,86.67,78.57,0.0,2.5,67.41,3.64,0.351,8,1,3,0.0,0.642,935,544,1479,90.11,ok,,,1
