task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,prompt_tokens,completion_tokens,total_tokens,ast_branch_coverage,ast_line_coverage,ast_total_branches,ast_total_lines,test_diversity_asserts,test_code_bloat_ratio,logic_density,fc_per_1k_total_tokens,coverage_per_1k_tokens
HumanEval/139,competitive,gemma-12b:zero_shot,0,0,0,0,0.0,22.0,0.0,1.0,0.0,100.0,0.07,0.102,0,0,0,1.0,0.0833,0,11,0,0.0,0.0,0.0,0.0
HumanEval/139,baseline,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,2.22,65.65,2.13,0.08,310,0,310,1.0,1.0,0,11,11,1.82,0.0,0.0,3.2258
HumanEval/139,competitive,gemma-12b:cot,0,0,0,0,0.0,22.0,0.0,1.0,0.0,100.0,0.07,0.102,0,0,0,1.0,0.0833,0,11,0,0.0,0.0,0.0,0.0
HumanEval/139,coa,gemma-12b:zero_shot,5,2,0,7,0.714,100.0,0.0,1.0,2.14,70.57,2.33,0.074,150,0,150,1.0,1.0,0,11,8,2.09,0.0,4.76,6.6667
HumanEval/139,swarm,gemma-12b:zero_shot,1,0,0,1,1.0,77.0,0.0,0.0,2.0,79.74,0.33,0.187,0,0,0,1.0,1.0,0,11,1,0.18,0.0,0.0,0.0
HumanEval/139,soa,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,2.12,67.15,2.0,0.072,886,0,886,1.0,1.0,0,11,9,1.73,0.0,0.0,1.1287
HumanEval/139,baseline,gemma-12b:cot,2,3,0,5,0.4,86.0,0.0,1.0,2.8,48.76,1.8,0.039,497,0,497,1.0,1.0,0,11,9,1.91,0.0,0.8048,2.0121
HumanEval/139,competitive,gemma-12b:scot,0,0,0,0,0.0,22.0,0.0,1.0,0.0,100.0,0.07,0.102,0,0,0,1.0,0.0833,0,11,0,0.0,0.0,0.0,0.0
HumanEval/139,hybrid,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,3.1,59.78,5.33,0.065,2225,0,2225,0.0,0.0,0,4,16,13.75,0.25,0.0,0.0
HumanEval/139,baseline,gemma-12b:scot,5,1,0,6,0.833,86.0,0.0,1.0,2.5,76.24,4.13,0.215,419,0,419,0.125,0.0417,8,23,6,0.61,0.17,1.9881,0.2983
HumanEval/139,actor_critic,gemma-12b:zero_shot,0,0,1,1,0.0,0.0,0.0,1.0,3.0,58.52,3.2,0.051,1138,0,1138,0.0,0.0,0,8,14,3.62,0.25,0.0,0.0
HumanEval/139,atomic_swarm,gemma-12b:zero_shot,1,1,0,2,0.5,95.0,0.0,1.0,1.67,68.04,0.8,0.093,292,0,292,1.0,0.0833,0,11,2,0.64,0.0,1.7123,3.4247
HumanEval/139,competitive,gemma-12b:few_shot,0,0,0,0,0.0,22.0,0.0,1.0,0.0,100.0,0.07,0.102,0,0,0,1.0,0.0833,0,11,0,0.0,0.0,0.0,0.0
HumanEval/139,swarm,gemma-12b:cot,0,1,0,1,0.0,47.0,0.0,1.0,1.0,100.0,0.47,0.107,240,0,240,1.0,0.0833,0,11,0,0.36,0.0,0.0,4.1667
HumanEval/139,soa,gemma-12b:scot,0,0,1,1,0.0,0.0,0.0,1.0,2.5,68.07,1.8,0.094,590,0,590,1.0,1.0,0,11,9,1.91,0.0,0.0,1.6949
HumanEval/139,soa,gemma-12b:cot,0,0,1,1,0.0,0.0,0.0,1.0,2.29,68.94,1.8,0.074,1272,0,1272,1.0,0.0833,0,11,9,1.55,0.0,0.0,0.7862
HumanEval/139,actor_critic,gemma-12b:scot,0,0,1,1,0.0,0.0,0.0,1.0,1.86,71.29,1.27,0.04,1520,0,1520,1.0,0.0833,0,11,6,0.91,0.0,0.0,0.6579
