task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,prompt_tokens,completion_tokens,total_tokens,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score
HumanEval/139,baseline,gemma-27b:zero_shot,2,2,0,4,0.5,82.0,70.0,1.0,2.5,77.63,3.47,0.327,2619,0,2619,9,1,4,0.0,0.717
HumanEval/139,competitive,gemma-27b:zero_shot,0,5,0,5,0.0,50.0,0.0,1.0,2.29,78.25,2.47,0.404,0,0,0,12,1,4,0.0,0.742
HumanEval/139,soa,gemma-27b:zero_shot,8,2,0,10,0.8,78.95,60.0,1.0,2.08,74.01,4.0,0.286,0,0,0,10,1,3,0.0,0.692
HumanEval/139,swarm,gemma-27b:zero_shot,0,1,0,1,0.0,50.0,0.0,1.0,1.0,100.0,1.0,0.728,218,0,218,1,1,1,0.0,0.367
HumanEval/139,competitive,gemma-27b:cot,0,3,0,3,0.0,46.43,0.0,1.0,2.8,84.61,1.8,0.514,0,0,0,8,1,3,0.0,0.642
HumanEval/139,coa,gemma-27b:zero_shot,11,3,0,14,0.786,70.41,58.33,1.0,2.5,66.77,6.6,0.213,1116,0,1116,9,1,5,0.286,0.695
HumanEval/139,baseline,gemma-27b:cot,3,1,0,4,0.75,85.71,75.0,1.0,2.5,78.47,3.73,0.287,0,0,0,12,1,4,0.0,0.742
HumanEval/139,atomic_swarm,gemma-27b:zero_shot,2,1,0,3,0.667,50.75,33.33,1.0,2.57,73.08,5.2,0.261,148,0,148,3,1,4,0.0,0.567
HumanEval/139,soa,gemma-27b:cot,8,2,0,10,0.8,88.14,83.33,1.0,2.15,73.37,3.93,0.312,2157,0,2157,9,1,3,0.0,0.667
HumanEval/139,swarm,gemma-27b:cot,0,1,0,1,0.0,50.0,0.0,1.0,1.5,86.9,1.0,0.711,932,0,932,1,0,3,0.0,0.425
HumanEval/139,hybrid,gemma-27b:zero_shot,7,1,0,8,0.875,89.23,75.0,1.0,2.64,69.85,4.87,0.208,3833,0,3833,0,0,0,1.0,0.0
HumanEval/139,actor_critic,gemma-27b:zero_shot,5,2,0,7,0.714,89.71,83.33,1.0,2.5,71.77,4.8,0.246,724,0,724,13,1,4,0.0,0.742
HumanEval/139,consensus,gemma-27b:zero_shot,6,1,0,7,0.857,83.93,70.0,1.0,2.11,75.47,3.87,0.305,1800,0,1800,11,1,4,0.0,0.742
HumanEval/139,competitive,gemma-27b:scot,0,6,0,6,0.0,55.88,0.0,1.0,2.5,79.79,2.2,0.436,0,0,0,8,1,3,0.0,0.642
HumanEval/139,coa,gemma-27b:cot,11,1,0,12,0.917,71.28,50.0,1.0,2.29,67.04,6.6,0.193,1956,0,1956,11,1,5,0.0,0.792
HumanEval/139,hybrid,gemma-27b:cot,1,9,0,10,0.1,58.57,50.0,1.0,2.55,62.4,4.53,0.229,1048,0,1048,16,2,4,0.0,0.783
HumanEval/139,baseline,gemma-27b:scot,5,0,0,5,1.0,85.42,80.0,0.0,2.14,79.1,3.33,0.327,1379,0,1379,8,1,4,0.0,0.692
HumanEval/139,atomic_swarm,gemma-27b:cot,2,1,0,3,0.667,50.75,33.33,1.0,2.57,73.08,5.2,0.261,1884,0,1884,3,1,4,0.0,0.567
HumanEval/139,soa,gemma-27b:scot,8,2,0,10,0.8,88.14,83.33,1.0,2.15,73.37,3.93,0.312,3374,0,3374,9,1,3,0.0,0.667
HumanEval/139,baseline,gemma-27b:few_shot,7,0,0,7,1.0,82.93,75.0,0.0,2.11,80.08,2.93,0.366,849,0,849,7,1,3,0.0,0.617
HumanEval/139,actor_critic,gemma-27b:cot,3,2,0,5,0.6,78.43,70.0,1.0,2.25,77.39,3.53,0.304,3957,0,3957,10,0,5,0.0,0.75
HumanEval/139,competitive,gemma-27b:few_shot,0,3,0,3,0.0,46.43,0.0,1.0,2.8,84.61,1.8,0.514,0,0,0,8,1,3,0.0,0.642
HumanEval/139,adversarial,gemma-27b:zero_shot,6,1,0,7,0.857,85.42,66.67,1.0,2.33,77.39,3.6,0.285,1536,0,1536,11,1,4,0.0,0.742
HumanEval/139,consensus,gemma-27b:cot,5,1,0,6,0.833,83.33,70.0,1.0,2.12,76.51,3.73,0.316,2990,0,2990,11,1,4,0.0,0.742
HumanEval/139,coa,gemma-27b:scot,13,1,0,14,0.929,69.66,50.0,1.0,2.23,68.27,6.4,0.197,965,0,965,9,1,5,0.0,0.767
HumanEval/139,atomic_swarm,gemma-27b:scot,2,1,0,3,0.667,50.75,33.33,1.0,2.57,73.08,5.2,0.261,5297,0,5297,3,1,4,0.0,0.567
HumanEval/139,swarm,gemma-27b:scot,4,0,0,4,1.0,80.56,75.0,0.0,2.0,82.9,2.6,0.441,3864,0,3864,4,1,4,0.0,0.592
HumanEval/139,soa,gemma-27b:few_shot,8,2,0,10,0.8,88.14,83.33,1.0,2.15,73.37,3.93,0.312,2749,0,2749,9,1,3,0.0,0.667
HumanEval/139,swarm,gemma-27b:few_shot,0,1,0,1,0.0,50.0,0.0,1.0,1.5,88.36,0.93,0.773,458,0,458,1,0,3,0.0,0.425
HumanEval/139,hybrid,gemma-27b:scot,3,1,0,4,0.75,82.93,75.0,1.0,2.17,81.26,2.93,0.379,467,0,467,7,1,4,0.0,0.667
HumanEval/139,adversarial,gemma-27b:cot,0,5,0,5,0.0,57.58,0.0,1.0,2.0,84.14,2.33,0.407,1457,0,1457,11,1,4,0.0,0.742
HumanEval/139,consensus,gemma-27b:scot,5,1,0,6,0.833,83.02,70.0,1.0,2.0,77.34,3.67,0.322,1457,0,1457,10,1,4,0.0,0.742
HumanEval/139,actor_critic,gemma-27b:scot,4,1,0,5,0.8,71.21,56.25,1.0,2.25,73.56,5.47,0.203,1739,496,2235,9,1,4,0.0,0.717
HumanEval/139,atomic_swarm,gemma-27b:few_shot,2,1,0,3,0.667,50.75,33.33,1.0,2.57,73.08,5.2,0.261,317,126,443,3,1,4,0.0,0.567
HumanEval/139,self_healing,gemma-27b:zero_shot,0,0,0,0,0,11.11,0.0,1.0,2.5,83.4,2.4,0.462,4917,1641,6558,0,0,0,1.0,0.0
HumanEval/139,hybrid,gemma-27b:few_shot,7,2,0,9,0.778,88.73,80.0,1.0,2.46,69.48,5.2,0.207,1775,126,1901,18,3,4,0.0,0.825
HumanEval/139,actor_critic,gemma-27b:few_shot,1,2,0,3,0.333,55.0,42.86,1.0,3.33,74.02,4.2,0.282,1840,337,2177,12,1,4,0.0,0.742
HumanEval/139,consensus,gemma-27b:few_shot,3,1,0,4,0.75,83.02,70.0,1.0,2.33,77.14,3.67,0.322,1594,511,2105,11,1,4,0.0,0.742
HumanEval/139,coa,gemma-27b:few_shot,10,2,0,12,0.833,67.0,45.83,1.0,2.57,65.71,6.73,0.195,338,70,408,10,1,5,0.111,0.764
HumanEval/139,adversarial,gemma-27b:scot,8,0,0,8,1.0,87.04,75.0,0.0,2.2,76.49,3.8,0.301,1043,1629,2672,11,1,4,0.0,0.742
HumanEval/139,self_healing,gemma-27b:cot,0,0,0,0,0,11.11,0.0,1.0,2.5,83.4,2.4,0.462,973,1043,2016,0,0,0,1.0,0.0
HumanEval/139,adversarial,gemma-27b:few_shot,5,1,0,6,0.833,83.02,70.0,1.0,2.0,77.46,3.73,0.309,811,924,1735,10,1,4,0.0,0.742
HumanEval/139,self_healing,gemma-27b:scot,0,0,0,0,0,11.11,0.0,1.0,2.5,83.4,2.4,0.462,0,0,0,0,0,0,1.0,0.0
HumanEval/139,self_healing,gemma-27b:few_shot,0,0,0,0,0,12.9,0.0,1.0,2.5,81.68,2.2,0.465,1692,0,1692,0,0,0,1.0,0.0
HumanEval/140,competitive,gemma-27b:zero_shot,0,13,0,13,0.0,83.33,0.0,1.0,1.93,77.31,2.64,0.377,0,0,0,13,1,3,0.0,0.692
HumanEval/140,baseline,gemma-27b:zero_shot,14,2,0,16,0.875,87.5,50.0,1.0,1.94,74.3,4.07,0.297,6992,0,6992,16,1,3,0.0,0.692
HumanEval/140,coa,gemma-27b:zero_shot,0,17,0,17,0.0,87.5,0.0,1.0,1.94,71.98,3.71,0.31,330,0,330,11,1,3,0.294,0.618
HumanEval/140,competitive,gemma-27b:cot,0,13,0,13,0.0,83.33,0.0,1.0,1.93,77.31,2.64,0.377,0,0,0,13,1,3,0.0,0.692
HumanEval/140,soa,gemma-27b:zero_shot,0,15,0,15,0.0,85.0,0.0,1.0,1.94,74.33,2.93,0.368,332,0,332,15,1,3,0.0,0.692
HumanEval/140,swarm,gemma-27b:zero_shot,0,1,0,1,0.0,50.0,0.0,1.0,1.5,80.72,0.93,0.76,544,0,544,1,0,3,0.0,0.425
HumanEval/140,baseline,gemma-27b:cot,0,15,0,15,0.0,85.71,0.0,1.0,1.94,73.32,3.07,0.332,0,0,0,14,1,3,0.0,0.692
HumanEval/140,atomic_swarm,gemma-27b:zero_shot,0,3,0,3,0.0,64.71,0.0,1.0,1.75,93.47,1.29,0.7,165,0,165,3,0,3,0.0,0.475
HumanEval/140,soa,gemma-27b:cot,0,15,0,15,0.0,85.0,0.0,1.0,1.94,74.33,2.93,0.364,549,0,549,15,1,3,0.0,0.692
HumanEval/140,swarm,gemma-27b:cot,0,1,0,1,0.0,50.0,0.0,1.0,1.5,78.99,1.0,0.713,487,0,487,1,0,3,0.0,0.425
HumanEval/140,coa,gemma-27b:cot,0,20,0,20,0.0,88.89,0.0,1.0,1.95,68.63,4.14,0.28,2455,0,2455,14,1,3,0.3,0.617
HumanEval/140,hybrid,gemma-27b:zero_shot,16,10,0,26,0.615,88.0,50.0,1.0,2.0,60.09,6.0,0.187,1601,0,1601,0,0,0,1.0,0.0
HumanEval/140,competitive,gemma-27b:scot,0,13,0,13,0.0,83.33,0.0,1.0,1.93,77.31,2.64,0.377,0,0,0,13,1,3,0.0,0.692
HumanEval/140,atomic_swarm,gemma-27b:cot,0,2,1,3,0.0,61.11,0.0,1.0,1.75,93.91,1.36,0.678,1749,0,1749,3,0,3,0.0,0.475
HumanEval/140,baseline,gemma-27b:scot,10,0,0,10,1.0,85.0,0.0,0.0,2.25,77.33,3.57,0.35,2661,0,2661,13,1,3,0.0,0.692
HumanEval/140,consensus,gemma-27b:zero_shot,0,20,0,20,0.0,88.0,0.0,1.0,1.95,67.93,3.64,0.292,1362,0,1362,20,1,3,0.0,0.692
HumanEval/140,actor_critic,gemma-27b:zero_shot,12,4,0,16,0.75,87.5,50.0,1.0,1.94,74.3,4.07,0.326,730,0,730,16,1,3,0.0,0.692
HumanEval/140,hybrid,gemma-27b:cot,0,18,0,18,0.0,86.96,0.0,1.0,1.95,70.32,3.36,0.321,1872,0,1872,18,1,3,0.0,0.692
HumanEval/140,actor_critic,gemma-27b:cot,0,17,0,17,0.0,86.96,0.0,1.0,1.94,70.68,3.36,0.328,688,0,688,18,1,4,0.0,0.742
HumanEval/140,soa,gemma-27b:scot,0,15,0,15,0.0,85.0,0.0,1.0,1.94,74.33,2.93,0.361,167,0,167,15,1,3,0.0,0.692
HumanEval/140,competitive,gemma-27b:few_shot,0,13,0,13,0.0,83.33,0.0,1.0,1.93,77.31,2.64,0.377,0,0,0,13,1,3,0.0,0.692
HumanEval/140,baseline,gemma-27b:few_shot,0,10,0,10,0.0,80.0,0.0,1.0,1.91,82.34,2.21,0.446,345,0,345,10,1,3,0.0,0.692
HumanEval/140,coa,gemma-27b:scot,0,19,0,19,0.0,88.46,0.0,1.0,1.95,69.71,4.0,0.29,404,0,404,13,1,3,0.316,0.613
HumanEval/140,consensus,gemma-27b:cot,0,16,0,16,0.0,85.71,0.0,1.0,1.94,72.93,3.07,0.353,1725,0,1725,16,1,3,0.0,0.692
HumanEval/140,atomic_swarm,gemma-27b:scot,0,3,0,3,0.0,64.71,0.0,1.0,1.75,93.47,1.29,0.7,1452,0,1452,3,0,3,0.0,0.475
HumanEval/140,swarm,gemma-27b:scot,0,0,1,1,0.0,27.78,0.0,1.0,4.5,89.96,1.36,0.64,237,0,237,6,0,3,0.0,0.55
HumanEval/140,adversarial,gemma-27b:zero_shot,9,5,0,14,0.643,86.96,50.0,1.0,2.0,73.8,3.93,0.294,0,0,0,0,0,0,1.0,0.0
HumanEval/140,soa,gemma-27b:few_shot,0,15,0,15,0.0,85.0,0.0,1.0,1.94,74.33,2.93,0.36,1455,134,1589,15,1,3,0.0,0.692
HumanEval/140,atomic_swarm,gemma-27b:few_shot,0,3,0,3,0.0,64.71,0.0,1.0,1.75,93.47,1.29,0.7,165,0,165,3,0,3,0.0,0.475
HumanEval/140,coa,gemma-27b:few_shot,0,19,0,19,0.0,88.46,0.0,1.0,1.95,69.71,4.0,0.289,4762,1638,6400,14,1,3,0.211,0.639
HumanEval/140,swarm,gemma-27b:few_shot,0,1,0,1,0.0,50.0,0.0,1.0,1.5,80.72,0.93,0.779,341,0,341,1,0,3,0.0,0.425
HumanEval/140,hybrid,gemma-27b:scot,7,2,0,9,0.778,82.35,50.0,1.0,1.91,81.14,3.07,0.376,699,361,1060,9,0,3,0.0,0.625
HumanEval/140,consensus,gemma-27b:scot,0,22,0,22,0.0,86.21,0.0,1.0,1.96,63.66,4.21,0.261,1867,14,1881,24,1,3,0.0,0.692
HumanEval/140,actor_critic,gemma-27b:scot,8,10,0,18,0.444,87.76,0.0,1.0,1.9,73.33,4.21,0.284,1249,716,1965,18,1,3,0.0,0.692
HumanEval/140,adversarial,gemma-27b:cot,0,15,0,15,0.0,85.71,0.0,1.0,1.94,73.32,3.07,0.349,1247,1341,2588,14,1,3,0.0,0.692
HumanEval/140,adversarial,gemma-27b:scot,11,0,0,11,1.0,84.62,50.0,0.0,1.92,79.3,3.36,0.36,900,1061,1961,11,1,3,0.0,0.692
HumanEval/140,hybrid,gemma-27b:few_shot,18,7,0,25,0.72,92.59,66.67,1.0,2.03,62.35,6.57,0.182,1788,345,2133,25,2,3,0.0,0.733
HumanEval/140,self_healing,gemma-27b:zero_shot,0,0,0,0,0,10.26,0.0,1.0,5.0,79.83,2.79,0.448,4372,1451,5823,0,0,0,1.0,0.0
HumanEval/140,consensus,gemma-27b:few_shot,0,18,0,18,0.0,86.96,0.0,1.0,1.95,70.32,3.36,0.325,3484,359,3843,18,1,3,0.0,0.692
HumanEval/140,actor_critic,gemma-27b:few_shot,8,5,0,13,0.615,84.21,0.0,1.0,1.87,78.62,3.43,0.327,1023,132,1155,13,1,3,0.0,0.692
HumanEval/140,self_healing,gemma-27b:cot,0,0,0,0,0,7.84,0.0,1.0,7.5,77.57,3.21,0.386,2176,1589,3765,0,0,0,1.0,0.0
HumanEval/140,adversarial,gemma-27b:few_shot,9,2,0,11,0.818,85.0,50.0,1.0,1.92,78.72,3.57,0.351,912,1062,1974,10,1,3,0.0,0.692
HumanEval/140,self_healing,gemma-27b:scot,0,0,0,0,0,7.84,0.0,1.0,8.5,75.79,3.21,0.387,722,8192,8914,0,0,0,1.0,0.0
HumanEval/140,self_healing,gemma-27b:few_shot,0,0,0,0,0,10.26,0.0,1.0,5.0,79.83,2.79,0.448,0,0,0,0,0,0,1.0,0.0
HumanEval/141,competitive,gemma-27b:zero_shot,0,9,0,9,0.0,49.18,0.0,1.0,4.0,68.54,2.45,0.437,0,0,0,30,1,3,0.0,0.692
HumanEval/141,baseline,gemma-27b:zero_shot,7,0,0,7,1.0,78.26,57.69,0.0,4.78,66.54,3.73,0.37,3954,0,3954,26,0,3,0.0,0.65
HumanEval/141,competitive,gemma-27b:cot,0,9,0,9,0.0,49.18,0.0,1.0,4.0,68.54,2.45,0.437,0,0,0,30,1,3,0.0,0.692
HumanEval/141,swarm,gemma-27b:zero_shot,0,1,0,1,0.0,25.0,0.0,1.0,1.5,63.38,0.77,0.802,189,0,189,1,0,3,0.0,0.425
HumanEval/141,soa,gemma-27b:zero_shot,0,10,0,10,0.0,50.77,0.0,1.0,4.0,66.26,2.64,0.41,1181,0,1181,33,1,3,0.0,0.692
HumanEval/141,atomic_swarm,gemma-27b:zero_shot,0,3,0,3,0.0,30.0,0.0,1.0,4.5,82.47,1.5,0.615,0,0,0,14,0,3,0.0,0.65
HumanEval/141,coa,gemma-27b:zero_shot,0,21,0,21,0.0,69.62,0.0,1.0,2.45,63.35,3.41,0.378,287,0,287,20,0,3,0.238,0.591
HumanEval/141,baseline,gemma-27b:cot,7,0,0,7,1.0,78.26,57.69,0.0,4.78,66.52,3.73,0.373,614,0,614,25,0,3,0.0,0.65
HumanEval/141,competitive,gemma-27b:scot,0,9,0,9,0.0,49.18,0.0,1.0,4.0,68.54,2.45,0.436,0,0,0,30,1,3,0.0,0.692
HumanEval/141,swarm,gemma-27b:cot,0,1,0,1,0.0,25.0,0.0,1.0,1.5,63.38,0.77,0.802,1041,0,1041,1,0,3,0.0,0.425
HumanEval/141,soa,gemma-27b:cot,0,10,0,10,0.0,50.77,0.0,1.0,4.0,66.26,2.64,0.41,283,0,283,33,1,3,0.0,0.692
HumanEval/141,atomic_swarm,gemma-27b:cot,0,3,0,3,0.0,26.67,0.0,1.0,5.75,78.67,1.73,0.565,1284,0,1284,19,0,3,0.0,0.65
HumanEval/141,coa,gemma-27b:cot,0,21,0,21,0.0,69.62,0.0,1.0,2.45,63.35,3.41,0.379,561,0,561,25,0,3,0.095,0.626
HumanEval/141,baseline,gemma-27b:scot,11,0,0,11,1.0,73.91,50.0,0.0,2.31,74.81,2.95,0.449,1838,0,1838,11,1,3,0.0,0.692
