task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,unique_inputs_count,edge_case_count,test_type_count,duplication_ratio,diversity_score,prompt_tokens,completion_tokens,total_tokens
HumanEval/147,actor_critic,gemma-4-2b:zero_shot,5,7,0,12,0.417,68.63,20.0,1.0,2.31,73.43,2.71,0.45,12,1,3,0.0,0.692,1011,1220,2231
HumanEval/144,baseline,gemma-4-2b:zero_shot,10,4,0,14,0.714,83.72,84.0,0.0,2.0,71.14,3.54,0.481,16,0,3,0.0,0.65,373,861,1234
HumanEval/143,baseline,gemma-4-2b:few_shot,7,5,0,12,0.583,64.06,16.67,0.0,2.07,70.11,3.2,0.411,12,2,3,0.0,0.733,390,708,1098
HumanEval/154,baseline,gemma-4-2b:zero_shot,5,2,0,7,0.714,81.16,57.14,0.0,4.88,63.01,3.06,0.364,33,1,3,0.0,0.692,190,764,954
HumanEval/142,baseline,gemma-4-2b:zero_shot,3,7,0,10,0.3,75.0,50.0,0.0,2.18,73.88,2.0,0.569,8,2,3,0.2,0.633,578,1545,2123
HumanEval/160,adversarial,gemma-4-2b:scot,0,13,0,13,0.0,42.73,6.67,0.0,3.14,62.27,3.58,0.367,13,3,4,0.0,0.825,3345,3683,7028
HumanEval/154,adversarial,gemma-4-2b:zero_shot,14,2,0,16,0.875,80.3,57.14,0.0,2.12,67.48,2.88,0.4,21,1,3,0.0,0.692,1278,5254,6532
HumanEval/139,adversarial,gemma-4-2b:few_shot,12,1,0,13,0.923,75.61,40.0,0.0,3.31,57.86,5.2,0.217,33,3,3,0.0,0.775,818,2277,3095
HumanEval/152,adversarial,gemma-4-2b:few_shot,13,2,0,15,0.867,88.24,50.0,0.0,2.0,69.68,4.54,0.475,20,3,3,0.0,0.775,2176,4021,6197
HumanEval/160,hybrid,gemma-4-2b:few_shot,10,6,0,16,0.625,51.26,18.18,0.0,3.11,54.81,4.35,0.34,31,2,4,0.0,0.783,3260,4221,7481
HumanEval/153,hybrid,gemma-4-2b:scot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.256,0,0,0,1.0,0.0,3224,2640,5864
HumanEval/142,adversarial,gemma-4-2b:few_shot,3,5,0,8,0.375,72.92,50.0,0.0,2.22,77.61,1.79,0.661,6,2,3,0.25,0.571,0,0,0
HumanEval/152,actor_critic,gemma-4-2b:scot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.28,0,0,0,1.0,0.0,2350,917,3267
HumanEval/161,actor_critic,gemma-4-2b:zero_shot,25,5,0,30,0.833,84.44,40.0,0.0,2.06,55.64,4.26,0.199,21,1,3,0.3,0.617,3471,919,4390
HumanEval/162,actor_critic,gemma-4-2b:zero_shot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.21,0,0,0,1.0,0.0,2618,3080,5698
HumanEval/154,baseline,gemma-4-2b:few_shot,6,1,0,7,0.857,80.65,62.5,0.0,2.8,69.83,2.65,0.436,17,2,3,0.0,0.733,366,547,913
HumanEval/152,adversarial,gemma-4-2b:zero_shot,6,3,0,9,0.667,81.25,0.0,0.0,2.2,77.83,2.85,0.592,15,2,3,0.0,0.733,1518,2688,4206
HumanEval/155,hybrid,gemma-4-2b:zero_shot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.14,0,0,0,1.0,0.0,1631,1429,3060
HumanEval/160,adversarial,gemma-4-2b:zero_shot,2,15,0,17,0.118,82.35,50.0,0.0,1.4,81.56,5.5,0.405,5,0,5,0.25,0.562,527,3071,3598
HumanEval/158,consensus,gemma-4-2b:zero_shot,10,0,0,10,1.0,63.64,33.33,0.333,2.36,72.26,2.8,0.377,10,2,3,0.0,0.733,2156,1577,3733
HumanEval/145,actor_critic,gemma-4-2b:few_shot,14,2,0,16,0.875,89.74,66.67,0.0,2.58,56.75,3.55,0.229,25,3,3,0.0,0.775,3545,2582,6127
HumanEval/160,consensus,gemma-4-2b:scot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.294,0,0,0,1.0,0.0,6847,6269,13116
HumanEval/155,actor_critic,gemma-4-2b:scot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.269,0,0,0,1.0,0.0,594,271,865
HumanEval/148,baseline,gemma-4-2b:zero_shot,0,0,0,0,0.0,2.1,0.0,0.0,113.0,34.53,6.29,0.307,0,0,0,1.0,0.0,923,2961,3884
HumanEval/148,consensus,gemma-4-2b:few_shot,6,5,0,11,0.545,72.34,33.33,0.0,2.17,76.36,2.29,0.601,9,0,3,0.0,0.625,2820,724,3544
HumanEval/140,actor_critic,gemma-4-2b:scot,4,10,0,14,0.286,70.49,25.0,0.0,2.27,67.07,4.21,0.302,13,1,3,0.0,0.692,1750,1285,3035
HumanEval/153,hybrid,gemma-4-2b:few_shot,4,7,0,11,0.364,62.35,27.78,0.0,3.07,66.55,2.81,0.419,37,2,3,0.0,0.733,2458,2071,4529
HumanEval/160,hybrid,gemma-4-2b:scot,1,20,0,21,0.048,80.0,50.0,0.0,2.14,79.2,6.42,0.277,7,1,4,0.833,0.458,4152,4441,8593
HumanEval/151,baseline,gemma-4-2b:scot,7,0,0,7,1.0,75.68,50.0,0.333,2.38,67.44,3.47,0.311,7,1,3,0.0,0.617,598,1503,2101
HumanEval/149,hybrid,gemma-4-2b:scot,7,11,0,18,0.389,80.0,50.0,0.0,2.25,87.72,2.76,0.466,4,0,4,0.667,0.383,1196,1002,2198
HumanEval/152,hybrid,gemma-4-2b:zero_shot,13,2,0,15,0.867,87.23,0.0,0.0,2.31,68.05,4.0,0.461,19,2,3,0.0,0.733,2289,2397,4686
HumanEval/146,adversarial,gemma-4-2b:few_shot,23,0,0,23,1.0,87.5,60.0,0.5,2.12,58.09,5.69,0.24,24,3,3,0.0,0.775,348,1540,1888
HumanEval/139,consensus,gemma-4-2b:few_shot,1,3,0,4,0.25,52.27,25.0,0.0,4.2,75.66,2.47,0.401,12,1,3,0.0,0.692,1456,447,1903
HumanEval/145,baseline,gemma-4-2b:zero_shot,6,3,0,9,0.667,80.95,50.0,0.0,1.9,77.12,1.75,0.41,8,1,3,0.0,0.642,182,543,725
HumanEval/145,hybrid,gemma-4-2b:few_shot,22,4,0,26,0.846,89.66,66.67,0.0,1.97,55.68,4.0,0.219,24,3,3,0.037,0.766,1590,1793,3383
HumanEval/142,baseline,gemma-4-2b:few_shot,2,5,0,7,0.286,69.57,50.0,0.0,2.38,74.61,1.74,0.634,7,2,3,0.0,0.658,402,598,1000
HumanEval/157,baseline,gemma-4-2b:scot,6,2,0,8,0.75,91.67,92.0,0.0,1.89,82.61,2.64,0.517,15,1,3,0.0,0.692,420,1523,1943
HumanEval/152,hybrid,gemma-4-2b:few_shot,17,3,0,20,0.85,89.25,33.33,0.0,3.17,48.5,7.46,0.308,43,3,4,0.0,0.825,4227,6843,11070
HumanEval/148,adversarial,gemma-4-2b:scot,2,4,0,6,0.333,58.82,33.33,0.0,4.14,72.24,2.48,0.489,9,0,3,0.0,0.625,334,1306,1640
HumanEval/158,consensus,gemma-4-2b:few_shot,0,0,0,0,0.0,11.76,0.0,0.0,6.0,90.89,1.4,0.699,0,0,0,1.0,0.0,2205,1534,3739
HumanEval/150,baseline,gemma-4-2b:scot,7,1,0,8,0.875,66.67,0.0,0.0,2.22,77.37,4.7,0.238,8,0,3,0.0,0.6,229,769,998
HumanEval/145,consensus,gemma-4-2b:scot,0,0,0,0,0.0,17.39,0.0,0.0,1.0,95.12,0.8,0.631,0,0,0,1.0,0.0,2551,1860,4411
HumanEval/144,hybrid,gemma-4-2b:zero_shot,0,0,1,1,0.0,,,0.0,2.38,32.66,9.85,0.039,44,0,3,0.135,0.616,2114,2195,4309
HumanEval/143,adversarial,gemma-4-2b:few_shot,13,3,0,16,0.812,73.33,16.67,0.0,2.95,58.51,4.65,0.299,27,3,3,0.0,0.775,0,0,0
HumanEval/144,baseline,gemma-4-2b:scot,0,0,1,1,0.0,,,0.0,0.0,0.0,0.0,0.024,0,0,0,1.0,0.0,1486,4322,5808
HumanEval/158,hybrid,gemma-4-2b:few_shot,22,3,0,25,0.88,79.0,42.86,0.0,2.36,53.35,5.8,0.21,30,3,3,0.0,0.775,1811,3519,5330
HumanEval/146,hybrid,gemma-4-2b:scot,15,9,0,24,0.625,82.14,40.0,0.0,2.46,48.62,5.62,0.206,0,0,0,1.0,0.0,2211,3076,5287
HumanEval/139,baseline,gemma-4-2b:scot,1,3,0,4,0.25,60.47,25.0,0.0,3.2,77.84,3.4,0.261,10,1,4,0.0,0.742,231,688,919
HumanEval/153,adversarial,gemma-4-2b:scot,7,2,0,9,0.778,57.81,25.0,0.0,2.4,75.65,1.89,0.552,9,1,3,0.0,0.667,406,1102,1508
HumanEval/140,consensus,gemma-4-2b:zero_shot,0,0,0,0,0.0,14.29,0.0,0.0,5.0,85.81,2.07,0.635,0,0,0,1.0,0.0,2087,1344,3431
HumanEval/142,adversarial,gemma-4-2b:scot,3,5,0,8,0.375,72.92,50.0,0.0,2.33,77.07,1.79,0.644,8,2,3,0.0,0.683,1109,1368,2477
HumanEval/161,hybrid,gemma-4-2b:few_shot,10,7,0,17,0.588,79.45,40.0,0.0,2.61,61.4,3.37,0.273,23,2,3,0.118,0.704,1345,1306,2651
HumanEval/154,hybrid,gemma-4-2b:zero_shot,22,1,0,23,0.957,83.95,57.14,0.0,2.12,56.89,3.76,0.28,0,0,0,1.0,0.0,3064,2725,5789
HumanEval/163,actor_critic,gemma-4-2b:few_shot,3,8,0,11,0.273,69.57,0.0,0.0,2.5,71.47,3.91,0.286,10,0,3,0.273,0.582,10509,11388,21897
HumanEval/148,actor_critic,gemma-4-2b:scot,8,6,0,14,0.571,75.47,33.33,0.0,2.13,73.05,2.57,0.538,7,0,3,0.286,0.503,819,312,1131
HumanEval/157,hybrid,gemma-4-2b:few_shot,12,5,0,17,0.706,86.76,100.0,0.0,2.8,55.23,6.64,0.239,39,4,3,0.0,0.817,2321,2628,4949
HumanEval/141,actor_critic,gemma-4-2b:zero_shot,17,2,0,19,0.895,63.16,37.5,0.0,2.43,59.6,3.32,0.446,0,0,0,1.0,0.0,1662,2222,3884
HumanEval/155,hybrid,gemma-4-2b:scot,21,8,7,36,0.583,70.59,33.33,0.0,2.0,56.53,7.64,0.138,11,2,5,0.059,0.819,1935,1350,3285
HumanEval/145,adversarial,gemma-4-2b:zero_shot,8,3,0,11,0.727,82.61,50.0,0.0,1.92,73.2,1.95,0.366,11,2,3,0.0,0.733,1649,2927,4576
HumanEval/155,consensus,gemma-4-2b:scot,6,7,0,13,0.462,70.83,33.33,0.0,5.27,40.92,8.0,0.134,25,1,3,0.0,0.692,2633,2450,5083
HumanEval/159,consensus,gemma-4-2b:scot,7,5,0,12,0.583,79.07,50.0,0.0,2.0,76.61,2.0,0.638,13,1,3,0.167,0.65,2745,2118,4863
HumanEval/159,hybrid,gemma-4-2b:scot,3,7,0,10,0.3,73.47,50.0,0.0,3.09,72.61,2.17,0.614,12,1,3,0.0,0.692,2117,4079,6196
HumanEval/147,hybrid,gemma-4-2b:scot,4,6,30,40,0.1,51.28,20.0,0.0,2.8,80.34,2.65,0.455,6,0,4,0.75,0.412,1183,820,2003
