
=== PROGRESSO DETTAGLIATO PER COMBINAZIONE ===
Combinazione (Agente:Modello:Stile)                N_Completati  Problemi Finiti (HumanEval/...)
--------------------------------------------------------------------------------------------------------------
actor_critic:gemma-1b:cot                                     2/25  [139, 140]
actor_critic:gemma-1b:few_shot                                2/25  [139, 140]
actor_critic:gemma-1b:scot                                    2/25  [139, 140]
actor_critic:gemma-1b:zero_shot                               2/25  [139, 140]
actor_critic:gemma-4b:cot                                     1/25  [139]
actor_critic:gemma-4b:few_shot                                1/25  [139]
actor_critic:gemma-4b:scot                                    1/25  [139]
actor_critic:gemma-4b:zero_shot                               1/25  [139]
adversarial:gemma-1b:cot                                      2/25  [139, 140]
adversarial:gemma-1b:few_shot                                 2/25  [139, 140]
adversarial:gemma-1b:scot                                     2/25  [139, 140]
adversarial:gemma-1b:zero_shot                                2/25  [139, 140]
adversarial:gemma-4b:cot                                      1/25  [139]
adversarial:gemma-4b:few_shot                                 1/25  [139]
adversarial:gemma-4b:scot                                     1/25  [139]
adversarial:gemma-4b:zero_shot                                1/25  [139]
atomic_swarm:gemma-1b:cot                                     1/25  [139]
atomic_swarm:gemma-1b:few_shot                                1/25  [139]
atomic_swarm:gemma-1b:scot                                    1/25  [139]
atomic_swarm:gemma-1b:zero_shot                               1/25  [139]
atomic_swarm:gemma-4b:cot                                     1/25  [139]
atomic_swarm:gemma-4b:few_shot                                1/25  [139]
atomic_swarm:gemma-4b:scot                                    1/25  [139]
atomic_swarm:gemma-4b:zero_shot                               1/25  [139]
baseline:gemma-1b:cot                                         2/25  [139, 140]
baseline:gemma-1b:few_shot                                    2/25  [139, 140]
baseline:gemma-1b:scot                                        2/25  [139, 140]
baseline:gemma-1b:zero_shot                                   2/25  [139, 140]
baseline:gemma-4b:cot                                         2/25  [139, 140]
baseline:gemma-4b:few_shot                                    2/25  [139, 140]
baseline:gemma-4b:scot                                        2/25  [139, 140]
baseline:gemma-4b:zero_shot                                   2/25  [139, 140]
coa:gemma-1b:cot                                              1/25  [139]
coa:gemma-1b:few_shot                                         1/25  [139]
coa:gemma-1b:scot                                             1/25  [139]
coa:gemma-1b:zero_shot                                        1/25  [139]
consensus:gemma-1b:cot                                        1/25  [139]
consensus:gemma-1b:few_shot                                   2/25  [139, 140]
consensus:gemma-1b:scot                                       2/25  [139, 140]
consensus:gemma-1b:zero_shot                                  2/25  [139, 140]
consensus:gemma-4b:cot                                        1/25  [139]
consensus:gemma-4b:few_shot                                   1/25  [139]
consensus:gemma-4b:scot                                       1/25  [139]
consensus:gemma-4b:zero_shot                                  1/25  [139]
hybrid:gemma-1b:cot                                           1/25  [139]
hybrid:gemma-1b:few_shot                                      1/25  [139]
hybrid:gemma-1b:scot                                          1/25  [139]
hybrid:gemma-1b:zero_shot                                     1/25  [139]
hybrid:gemma-4b:cot                                           1/25  [139]
hybrid:gemma-4b:few_shot                                      1/25  [139]
hybrid:gemma-4b:scot                                          1/25  [139]
hybrid:gemma-4b:zero_shot                                     1/25  [139]
self_healing:gemma-1b:cot                                     2/25  [139, 140]
self_healing:gemma-1b:few_shot                                2/25  [139, 140]
self_healing:gemma-1b:scot                                    2/25  [139, 140]
self_healing:gemma-1b:zero_shot                               2/25  [139, 140]
soa:gemma-1b:cot                                              2/25  [139, 140]
soa:gemma-1b:few_shot                                         2/25  [139, 140]
soa:gemma-1b:scot                                             2/25  [139, 140]
soa:gemma-1b:zero_shot                                        2/25  [139, 140]
soa:gemma-4b:cot                                              1/25  [139]
soa:gemma-4b:few_shot                                         1/25  [139]
soa:gemma-4b:scot                                             1/25  [139]
soa:gemma-4b:zero_shot                                        1/25  [139]
swarm:gemma-1b:cot                                            1/25  [139]
swarm:gemma-1b:few_shot                                       1/25  [139]
swarm:gemma-1b:scot                                           1/25  [139]
swarm:gemma-1b:zero_shot                                      1/25  [139]
