task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,prompt_tokens,completion_tokens,total_tokens,model,real_branch_coverage,real_line_coverage
HumanEval/139,competitive,gemma-12b:zero_shot,0,0,0,0,0.0,22.0,,1.0,0.0,100.0,0.07,0.102,0,0,0,gemma-12b,0.0,0.0
HumanEval/139,baseline,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.22,65.65,2.13,0.08,310,0,310,gemma-12b,0.0,0.0
HumanEval/139,competitive,gemma-12b:cot,0,0,0,0,0.0,22.0,,1.0,0.0,100.0,0.07,0.102,0,0,0,gemma-12b,0.0,0.0
HumanEval/139,coa,gemma-12b:zero_shot,5,2,0,7,0.714,100.0,,1.0,2.14,70.57,2.33,0.074,150,0,150,gemma-12b,0.0,0.0
HumanEval/139,swarm,gemma-12b:zero_shot,1,0,0,1,1.0,77.0,,0.0,2.0,79.74,0.33,0.187,0,0,0,gemma-12b,0.0,0.0
HumanEval/139,soa,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,2.12,67.15,2.0,0.072,886,0,886,gemma-12b,0.0,0.0
HumanEval/139,baseline,gemma-12b:cot,2,3,0,5,0.4,86.0,,1.0,2.8,48.76,1.8,0.039,497,0,497,gemma-12b,0.0,0.0
HumanEval/139,competitive,gemma-12b:scot,0,0,0,0,0.0,22.0,,1.0,0.0,100.0,0.07,0.102,0,0,0,gemma-12b,0.0,0.0
HumanEval/139,hybrid,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,3.1,59.78,5.33,0.065,2225,0,2225,gemma-12b,0.0,0.0
HumanEval/139,baseline,gemma-12b:scot,5,1,0,6,0.833,86.0,,1.0,2.5,76.24,4.13,0.215,419,0,419,gemma-12b,0.0,0.0
HumanEval/139,actor_critic,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,3.0,58.52,3.2,0.051,1138,0,1138,gemma-12b,0.0,0.0
HumanEval/139,atomic_swarm,gemma-12b:zero_shot,1,1,0,2,0.5,95.0,,1.0,1.67,68.04,0.8,0.093,292,0,292,gemma-12b,0.0,0.0
HumanEval/139,competitive,gemma-12b:few_shot,0,0,0,0,0.0,22.0,,1.0,0.0,100.0,0.07,0.102,0,0,0,gemma-12b,0.0,0.0
HumanEval/139,swarm,gemma-12b:cot,0,1,0,1,0.0,47.0,,1.0,1.0,100.0,0.47,0.107,240,0,240,gemma-12b,0.0,0.0
HumanEval/139,soa,gemma-12b:scot,0,0,1,1,0.0,,,1.0,2.5,68.07,1.8,0.094,590,0,590,gemma-12b,0.0,0.0
HumanEval/139,soa,gemma-12b:cot,0,0,1,1,0.0,,,1.0,2.29,68.94,1.8,0.074,1272,0,1272,gemma-12b,0.0,0.0
HumanEval/139,actor_critic,gemma-12b:scot,0,0,1,1,0.0,,,1.0,1.86,71.29,1.27,0.04,1520,0,1520,gemma-12b,0.0,0.0
HumanEval/139,hybrid,gemma-12b:cot,0,0,1,1,0.0,,,1.0,2.6,61.5,2.27,0.094,3062,0,3062,gemma-12b,0.0,0.0
HumanEval/139,coa,gemma-12b:scot,6,2,0,8,0.75,100.0,,1.0,1.88,71.2,2.33,0.073,150,0,150,gemma-12b,0.0,0.0
HumanEval/139,baseline,gemma-12b:few_shot,1,2,0,3,0.333,100.0,,1.0,3.67,77.77,0.8,0.086,649,0,649,gemma-12b,0.0,0.0
HumanEval/139,soa,gemma-12b:few_shot,0,0,1,1,0.0,,,1.0,2.8,70.02,1.6,0.105,148,0,148,gemma-12b,0.0,0.0
HumanEval/139,coa,gemma-12b:few_shot,6,2,0,8,0.75,100.0,,1.0,1.88,71.2,2.33,0.075,150,0,150,gemma-12b,0.0,0.0
HumanEval/139,swarm,gemma-12b:few_shot,1,0,0,1,1.0,77.0,,0.0,2.0,81.86,0.27,0.11,4581,0,4581,gemma-12b,0.0,0.0
HumanEval/139,hybrid,gemma-12b:few_shot,9,4,1,14,0.643,87.0,,1.0,2.12,62.73,5.27,0.199,3982,0,3982,gemma-12b,0.0,0.0
HumanEval/139,atomic_swarm,gemma-12b:scot,1,1,0,2,0.5,95.0,,1.0,1.67,68.04,0.8,0.093,5489,0,5489,gemma-12b,0.0,0.0
HumanEval/139,adversarial,gemma-12b:zero_shot,0,0,1,1,0.0,,,1.0,1.89,66.64,2.13,0.058,1634,0,1634,gemma-12b,0.0,0.0
