task_id,agent,config_label,passed,failed,errors,total,functional_correctness,line_coverage,branch_coverage,mutation_score,complexity_cc,maintainability_mi,bloat_ratio,similarity_score,prompt_tokens,completion_tokens,total_tokens
HumanEval/139,baseline,gemma-1b:scot,0,0,0,0,0.0,19.0,,1.0,3.0,92.44,1.13,0.8,761.0,608.0,1369.0
HumanEval/139,baseline,gemma-1b:cot,0,0,0,0,0.0,19.0,,1.0,2.0,84.76,0.93,0.843,534.0,459.0,993.0
HumanEval/139,baseline,gemma-1b:zero_shot,5,1,0,6,0.833,79.0,,1.0,2.14,84.24,1.93,0.497,3187.0,2603.0,5790.0
HumanEval/139,baseline,gemma-1b:few_shot,1,2,0,3,0.333,74.0,,1.0,2.25,89.72,1.53,0.592,3513.0,2819.0,6332.0
HumanEval/139,self_healing,gemma-1b:few_shot,0,0,0,0,0.0,12.0,,1.0,4.0,93.1,1.27,0.738,4160.0,4806.0,8966.0
HumanEval/139,self_healing,gemma-1b:cot,0,0,0,0,0.0,12.0,,1.0,4.0,93.1,1.27,0.738,4160.0,4806.0,8966.0
HumanEval/139,self_healing,gemma-1b:scot,0,0,0,0,0.0,16.0,,1.0,4.0,93.19,1.33,0.754,4160.0,4806.0,8966.0
HumanEval/139,self_healing,gemma-1b:zero_shot,0,0,0,0,0.0,16.0,,1.0,4.0,93.19,1.33,0.754,4160.0,4806.0,8966.0
HumanEval/139,adversarial,gemma-1b:cot,0,0,0,0,0.0,15.0,,1.0,3.0,90.69,1.07,0.812,197.0,146.0,343.0
HumanEval/139,actor_critic,gemma-1b:few_shot,2,2,0,4,0.5,79.0,,1.0,2.4,85.66,1.87,0.533,505.0,148.0,653.0
HumanEval/139,actor_critic,gemma-1b:scot,6,5,0,11,0.545,85.0,,1.0,2.17,74.05,2.8,0.345,1316.0,483.0,1799.0
HumanEval/139,actor_critic,gemma-1b:cot,0,0,0,0,0.0,12.0,,1.0,4.0,93.1,1.27,0.738,2331.0,1468.0,3799.0
HumanEval/139,actor_critic,gemma-1b:zero_shot,7,2,0,9,0.778,85.0,,1.0,2.7,72.42,2.87,0.366,3385.0,1914.0,5299.0
HumanEval/139,adversarial,gemma-1b:scot,5,1,0,6,0.833,81.0,,1.0,2.29,82.0,2.13,0.469,0.0,0.0,0.0
HumanEval/139,adversarial,gemma-1b:few_shot,2,2,0,4,0.5,79.0,,1.0,2.4,85.66,1.87,0.533,0.0,0.0,0.0
HumanEval/139,adversarial,gemma-1b:zero_shot,3,1,0,4,0.75,79.0,,1.0,2.4,85.73,1.87,0.534,0.0,0.0,0.0
HumanEval/139,soa,gemma-1b:zero_shot,0,0,1,1,0.0,,,1.0,0.0,0.0,0.0,0.477,5202.0,3948.0,9150.0
HumanEval/139,soa,gemma-1b:cot,0,0,0,0,0.0,12.0,,1.0,4.0,92.66,1.2,0.752,6173.0,4429.0,10602.0
HumanEval/139,soa,gemma-1b:scot,0,0,0,0,0.0,7.0,,1.0,13.0,78.21,2.47,0.567,6402.0,4732.0,11134.0
HumanEval/139,soa,gemma-1b:few_shot,0,0,0,0,0.0,15.0,,1.0,3.0,90.69,1.07,0.812,6730.0,4878.0,11608.0
HumanEval/139,swarm,gemma-1b:cot,0,0,1,1,0.0,,,1.0,0.0,0.0,0.0,0.093,588.0,417.0,1005.0
HumanEval/139,swarm,gemma-1b:zero_shot,0,0,0,0,0.0,6.0,,1.0,12.0,68.39,4.53,0.344,1814.0,1009.0,2823.0
HumanEval/139,consensus,gemma-1b:zero_shot,0,0,0,0,0.0,19.0,,1.0,3.0,92.44,1.13,0.8,2579.0,1153.0,3732.0
HumanEval/139,swarm,gemma-1b:scot,0,0,0,0,0.0,5.0,,1.0,13.0,67.93,4.93,0.346,818.0,602.0,1420.0
HumanEval/139,swarm,gemma-1b:few_shot,6,1,0,7,0.857,81.0,,1.0,2.12,81.8,2.13,0.472,1319.0,914.0,2233.0
HumanEval/139,consensus,gemma-1b:cot,0,0,0,0,0.0,12.0,,1.0,4.0,93.1,1.27,0.738,684.0,297.0,981.0
HumanEval/139,consensus,gemma-1b:scot,0,0,0,0,0.0,16.0,,1.0,4.0,93.19,1.33,0.754,1350.0,597.0,1947.0
HumanEval/139,consensus,gemma-1b:few_shot,0,0,0,0,0.0,12.0,,1.0,4.0,66.58,0.67,0.436,1778.0,868.0,2646.0
HumanEval/139,coa,gemma-1b:zero_shot,0,0,0,0,0.0,19.0,,1.0,2.33,72.43,3.27,0.406,150.0,133.0,283.0
HumanEval/139,coa,gemma-1b:cot,0,0,0,0,0.0,22.0,,1.0,2.0,70.49,3.13,0.413,358.0,266.0,624.0
HumanEval/139,atomic_swarm,gemma-1b:zero_shot,0,0,0,0,0.0,12.0,,1.0,4.33,77.35,3.93,0.354,504.0,440.0,944.0
HumanEval/139,coa,gemma-1b:scot,0,0,0,0,0.0,11.0,,1.0,6.33,73.32,5.13,0.317,731.0,607.0,1338.0
HumanEval/139,coa,gemma-1b:few_shot,0,0,0,0,0.0,16.0,,1.0,3.0,75.29,3.53,0.386,1057.0,753.0,1810.0
HumanEval/139,atomic_swarm,gemma-1b:scot,0,0,0,0,0.0,20.0,,1.0,3.33,78.53,3.67,0.375,1806.0,1202.0,3008.0
HumanEval/139,atomic_swarm,gemma-1b:cot,0,2,0,2,0.0,58.0,,1.0,3.33,87.82,1.6,0.618,1261.0,886.0,2147.0
HumanEval/139,atomic_swarm,gemma-1b:few_shot,0,0,1,1,0.0,,,1.0,0.0,0.0,0.0,0.394,1583.0,1032.0,2615.0
HumanEval/139,hybrid,gemma-1b:cot,0,0,0,0,0.0,12.0,,1.0,4.0,92.66,1.2,0.752,1490.0,764.0,2254.0
HumanEval/139,hybrid,gemma-1b:few_shot,3,6,0,9,0.333,82.0,,1.0,2.3,75.82,2.6,0.413,1080.0,604.0,1684.0
HumanEval/139,hybrid,gemma-1b:scot,5,1,0,6,0.833,81.0,,1.0,2.29,82.0,2.13,0.473,3045.0,1641.0,4686.0
HumanEval/139,hybrid,gemma-1b:zero_shot,13,2,0,15,0.867,87.0,,1.0,2.12,68.89,3.33,0.32,2350.0,1312.0,3662.0
HumanEval/140,self_healing,gemma-1b:zero_shot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13124.0,3866.0,16990.0
HumanEval/140,self_healing,gemma-1b:scot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13124.0,3866.0,16990.0
HumanEval/140,baseline,gemma-1b:cot,0,0,0,0,0.0,12.0,,1.0,4.0,90.63,1.29,0.433,2643.0,875.0,3518.0
HumanEval/140,baseline,gemma-1b:scot,0,0,0,0,0.0,15.0,,1.0,4.0,90.63,1.29,0.436,3502.0,1257.0,4759.0
HumanEval/140,baseline,gemma-1b:few_shot,0,0,0,0,0.0,25.0,,1.0,2.0,93.16,1.07,0.794,4993.0,2206.0,7199.0
HumanEval/140,self_healing,gemma-1b:cot,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13124.0,3866.0,16990.0
HumanEval/140,baseline,gemma-1b:zero_shot,3,5,0,8,0.375,86.0,,1.0,2.22,77.06,2.71,0.432,4648.0,2048.0,6696.0
HumanEval/140,self_healing,gemma-1b:few_shot,0,0,0,0,0.0,12.0,,1.0,4.0,91.79,1.5,0.685,13124.0,3866.0,16990.0
HumanEval/140,adversarial,gemma-1b:zero_shot,3,4,0,7,0.429,85.0,,1.0,2.25,78.07,2.64,0.439,620.0,1019.0,1639.0
HumanEval/140,actor_critic,gemma-1b:scot,2,10,0,12,0.167,82.0,,1.0,2.15,71.43,3.29,0.357,1885.0,1205.0,3090.0
HumanEval/140,adversarial,gemma-1b:scot,5,4,0,9,0.556,77.0,,1.0,2.5,72.86,3.07,0.384,489.0,150.0,639.0
HumanEval/140,soa,gemma-1b:zero_shot,3,5,0,8,0.375,86.0,,1.0,2.22,77.06,2.71,0.432,1784.0,567.0,2351.0
HumanEval/140,soa,gemma-1b:cot,0,0,0,0,0.0,15.0,,1.0,4.0,90.63,1.29,0.436,2218.0,692.0,2910.0
HumanEval/140,actor_critic,gemma-1b:cot,0,0,0,0,0.0,12.0,,1.0,4.0,91.79,1.5,0.685,4188.0,1124.0,5312.0
HumanEval/140,actor_critic,gemma-1b:few_shot,2,0,0,2,1.0,71.0,,0.0,2.25,58.32,1.36,0.026,6053.0,1126.0,7179.0
HumanEval/140,actor_critic,gemma-1b:zero_shot,4,7,0,11,0.364,78.0,,1.0,2.42,70.27,3.36,0.348,3615.0,1006.0,4621.0
HumanEval/140,adversarial,gemma-1b:few_shot,2,0,0,2,1.0,71.0,,0.0,2.25,58.32,1.36,0.026,0.0,0.0,0.0
HumanEval/140,adversarial,gemma-1b:cot,0,0,0,0,0.0,15.0,,1.0,4.0,90.63,1.29,0.436,0.0,0.0,0.0
HumanEval/140,consensus,gemma-1b:few_shot,0,0,0,0,0.0,12.0,,1.0,4.0,91.79,1.5,0.685,2677.0,3020.0,5697.0
